页码,汉字,拼音,Unnamed: 3,其他读法,标记,后续汉字,IPA识别
180,秋帽,chieu33ma55,,chieu1ma6;mau6,,瓜皮帽,fkltʰiɤmɒklkl
180,箬帽,gniaq1ma55,,ghiaq8;zoq8ma6;mau6,,斗笠,
180,头巾,deu11cin52,,,,,ldɤtɕiŋ
180,围身,yu11seen52,,yu2;we2seen1;shin1,,围裙,tlɦyslt
180,围巾,yu11cin52,,yu2;we2,,,llllɦytɕiŋ
180,项围,ghaon115yu52,,yu2;we2,,,llɦɒŋɦus
180,拦馋,ihaen33daen52,,laen2dzaen2;dzaen2;zaen2;zaen2,,围嘴儿,læ̃zæ̃l
180,拦馋袋,ihaen33daen55de52,,laen2dzaen2;dzaen2;zaen2;zaen2,,,llzæ̃d
180,肚兜,tu335teu52,,tu5;du4,,兜肚,ld
180,尿布头,shi33pu55deu52,,tc;nepu5,,尿布,kiipudɤki
180,衲,neq23,,neq8;noeq8,,垫子,
180,手套,seu335thau52,,,,,ttʰ
180,耳朵套,gni115to55thau52,,gni4;14,,,lnitotʰɒ
180,袖套,zhieu11thau11,,,,,izitʰ
180,绑腿,paon335the52,,the1;liic1;the3,,,pɒŋtʰ
180,腰带,iau33ta55,,,,,iɒta
180,裤带,khu33ta33,,,,,kʰuta
181,背带,pe33ta55,,pe1;pe5;pe5;be6;be6;be6,,,tpta
181,洋袜,yan11maeq5,,,,袜子,fkɦiaŋʔmʔk
181,袜,maeq23,,,,,kmʔ
181,袜套,maeq1thau55,,,,短袜,kmʔtʰɒk
181,宽紧带,khuoen33cin55ta52,,,,松紧带,lkʰutɕiŋtak
181,吊脚襻,tiau33ciaq3phaen33,,,,吊袜带,
181,洋巾,yan11cin52,,,,手绢儿,ftɦiaŋtɕiŋl
181,绸,dzeu231,,,,,dzɤbæ̃i
181,洋绢,yan11cioen55,,,,,ɦiaŋtɕiø̃
181,盖头袱,ke33deu33voq3,,,,新娘用的盖头布,
181,包裹单,pa33ku55taen52,,pau1taen1;zeen4;zeen4;zoen4,,包皮儿,ftitæ̃ti
181,鞋,gha231,,,,,ɦa
181,布鞋,pu33gha33,,pu5,,,tpuɦa
181,草鞋,tshau335gha52,,,,,ttsʰɒɦa
181,皮鞋,bi11gha52,,,,,biɦa
181,棉花鞋,mien11huo55gha52,,,,,mihuoɦai
181,棉鞋,mien11gha52,,,,,
181,塑料鞋,su33liau33gha33,,cn5;bo5,,,ktsoʔliɒlɦas
181,蒲鞋,bu11gha52,,bu2;bu2,,,bɦall
181,雨鞋,yu115gha52,,,,,ɦaftktff
181,套鞋,thau33gha33,,,,,tttʰɒɦat
181,橡胶雨鞋,jian115kau55yu55gha52,,kau1;ciau1,,,
181,球鞋,jieu11gha52,,,,,dziɦa
181,拖鞋,tha33gha52,,lric1;tho1,,,tʰoɦa
181,木展,moq1tseen55,,tseen3;tsoen3,,,
181,木拖鞋,moq1tha55gha52,,lric1;tho1,,,oʔtʰɡɦa
181,风凉鞋,fon33lian55gha52,,,,凉鞋,lfoŋliaŋɦa
181,长统靴,tsan335thon55shiu52,,tsan3;dzan2,,,kdzaŋtʰoŋɕy
181,短统靴,toen335thon55shiu52,,,,,tøtʰoŋɕy
181,半高统,poen33kau33thon33,,,,,pø̃kɒtʰoŋ
181,破鞋,pha33gha33,,phā5;pho5,,,
181,破烂的鞋,pha33laen33tiq3gha33,,phā5;pho5,,,
182,鞋底,gha11ti55,,ti3;ti3;ti3,,,tɦati
182,鞋带,gha11ta55,,,,,ɦaʔta
182,鞋面,gha11mien55,,mien4;mien6;mien6;mien6,,,tɦamiẽ
182,鞋底线,gha11ti55shien52,,ti3;ti3;ti3,,纳鞋底用的棉线或麻线,atiiẽkffkk
182,布装,pu33tsaon33,,pu5,,做鞋时用作鞋面衬垫的布片,
182,沿条,yen11tiau52,,yen2;yen6trau1;diau2,,延鞋面用的布条,ɦẽdiɒi
182,鞋喧头,gha11shioen55deu52,,,,,
182,鞋刷,gha11seq5,,,,,lɦasʔ
182,首饰,seu335seq54,,seoq7;seoq7,,,tsɤsʔ
182,愚铅,gniu11khaen52,,,,耳环,nyʔkʰll
182,戒指,ka33tsy33,,cia5;cia5,,,kats
182,镯子,dzoq1tsy55,,tsy3;tseq7,,,dzoʔts
182,手镯,seu335dzoq54,,,,,tsdzoʔ
182,脚镯,ciaq3dzoq5,,,,,tɕiaʔdzoʔ
182,项圈,ghaon115jien52,,jien4;chioen1,,,iltlɦɒŋtɕʰiø
182,项锁,ghaon115so52,,,,,ɡɦəŋstti
182,项链,ghaon115lien52,,,,,iɦɒŋllliẽ
182,别针,beq1tseen52,,beq8;beq8;piq7;piq7;piq7;piq7;piq7;biq8;biq8;biq8;biq8;biq8;biq8tseen1;cin1,,,lbiʔts
182,簪,tseen52,,tseen1;tsoen1,,,
182,红骨签,won11kueq5chien52,,kuēq7;kuoeq7;kuoq7chien1,,一种红色的针状骨簪梳理头发时用,okuʔtɕifktftll
182,蝴蝶结,wu11diaq5ciq54,,diq8,,,tɦudiʔtɕiʔ
182,发夹,faeq3kaeq5,,faeq7;faeq7kaeq7;kaeq7;gaeq8;gaeq8,,,ktfʔɡʔ
182,坠头,dzy11deu11,,dzy6;dze6,,垂挂的饰物,dzdil
182,须头,su33deu52,,su1;shiu1;te;tee,&,流苏,isudɤ
182,西装发,shi33tsaon55faeq54,,faeq7;faeq7,,分头,ɕitsɒŋf
182,光,kuaon52,,kuaon1,,郎头,kuɒŋlɒŋd
182,平顶,bin11teon55,,tin3,,头平头,biŋtiŋdɤʔ
182,辫子,bien115tsy52,,tsy3;tseq7,,,fbiẽts
183,羊角辫子,yan11koq5bien55tsy52,,tsy3;tseq7,,,fɦiaŋkoʔbiẽtsllkif
183,丝,sy52,,,,刘海儿,ksl
183,前丝,jien11sy52,,zhien2;zhien2,,,ʑiẽk
183,牛屎头,gnieu11u55deu52,,,,旧时一般妇女的打扮头发在脑后盘成,tŋikiy
183,朝前髻,tsau33jien55ci52,,tsau1;dzau2zhien2;zhien2cig7;ciq7;ciq7,,旧时儿媳妇服丧时的装束头发盘在前面,
183,虼螂头,keq3laon55deu52,,keq7;geq8,,旧时发髻梳在两侧的一种发型,
183,麻花头,mo11huo55deu52,,mo2;mo2;mo2;mo2,,,hodɤtkil
183,埭坞,da11u11,,da6;da6;da6;da6,,地方,
183,坞宕,u33dan55,,dan6;daon6,,,ludɒŋk
183,人家,zeen11cia52,,gnin2ke1;ko1;ko1;ko1;cio1,,住户,niŋko
183,人家屋里,zeen11cia55uoq5li52,,gnin2ke1;ko1;ko1;ko1;cio1li4;114;li4,,,kȵiŋkouli
183,窠坐,kho33zo55,,,,住处,
183,住家,jiu11cia11,,ke1;ko1;ko1;ko1;cio1,,住处住户,kdʑykol
183,老屋,lau115uoq54,,lau4;lau6,,老房子旧居,ʔ
183,屋里头,uoq3li55deu52,,li4;114;li4,,家里,tlulidɤʑ
183,屋里,uoq3li55,,li4;114;li4,,,luli
183,道地,da115di52,,da4;dau4,,门前的院子,sɒil
183,明堂,meen115daon52,,meen4;min2,,房屋中的院子,llmiŋdɒŋimẽʔdŋli
183,天井,thien33cin55,,,,屋内的小院子采光用,tʰiẽtiŋk
183,踏步,daeq1bu55,,,,档台阶,tdʔbutɒŋl
183,疆步,cian33bu55,,,,,
183,疆蹋档,cian33thaeq5taon52,,taon3;taon5,,,ttɕiaŋtʰʔtɒŋ
183,踏道档,daeq1da55taon52,,da4;dau4taon3;taon5,,,dʔdɒtɒŋ
183,阶沿,ka33yen52,,cia1yen2;yen6,,门前的台阶,kaɦiẽ
183,影壁,in335piq54,,,,,iŋpiʔ
183,照墙,tsau33jian33,,,,,ltsɒziaŋl
184,第六章,di11loq1tsaon11,,,,,
184,台门,the33meen52,,de2,,,
184,墙门,jian11meen52,,,,大门,
184,二门,gni11meen11,,16;ghi6;i6,,,ȵimẽl
184,台门内的门,the33meen55ne55tiq5meen52,,de2,,,
184,前门,jien11meen52,,zhien2;zhien2,,,iʑiẽms
184,后门,gheu115meen52,,gheu4;gheu4;gheu4;gheu6,,,ɦɤmẽi
184,花园,huo33yoen52,,,,,huoɦiø
184,枪笆,chian33po52,,,,篱笆,
184,夹篱,kaeq3li52,,kaeq7;kaeq7;gaeq8;gaeq8,,,kkʔli
184,围墙,yu11jian52,,yu2;we2,,,ɦudziaŋ
184,毛墙,mhau33jian52,,mhau1;mau2,,,tɡŋtt
184,石萧墙,zaq1shiau55jian52,,zaq8;zeoq8,,用石柱和石板构成的围墙萧墙原指,itzaʔiŋdiaŋtltfti
184,内墙,ne11jian11,,,,论语季氏吾恐季氏之忧不在颛臾而在萧墙之,titift
184,内也,ne11gha11,,gha4;ya4;ya4;ye4,,,kt
184,巷牌,ghaon11ba11,,,,牌坊只要铜钱多抬过河,ɦŋbati
184,房子,vaon11tsy55,,tsy3;tseq7,,,lvɒŋts
184,屋,uoq45,,,,,luoʔ
184,间架,kaen33cia55,,cien1cru5;ko5,,房屋建筑的宽度或面积,kkolfl
184,进,cin33,,,,深房屋建筑的深度,iltɕiŋsẽll
184,房间,vaon11kaen52,,cien1,,,llvɒŋkæ̃
184,房门,vaon11meen52,,,,,llvɒŋmẽ
184,正房,tseon33vaon52,,tseon1;tseon5,,,lltsŋvɒŋ
184,厢房,shian33vaon52,,,,,llɕiaŋvɒŋ
184,客厅,khaq3thin52,,,,,lkʰatʰiŋ
184,客堂,khaq3daon52,,,,,ikʰaʔdɒŋ
184,客堂间,khaq3daon55kaen52,,cien1,,,iikʰaʔdɒŋkæ̃
184,堂前,daon11jien52,,zhien2;zhien2,,,iidɒŋʔʑi
184,坐起,zo115chi52,,chi3,,,lzotɕʰi
184,房里头,vaon11li55deu52,,li4;114;li4,,卧室,vɒŋlidɤli
184,里间,li115kaen52,,li4;114;li4cien1,,,llik
184,外间,nga11kaen11,,nga6;wa6cien1,,,lŋak
185,过楼,ku33ieu33,,,,骑楼,tʑkul
185,阁楼,koq3ieu52,,,,,koʔl
185,楼顶,ieu11teon55,,tin3,,楼上,flɤtəŋiŋ
185,楼下,ieu11gho55,,gho4;gho6;yo4,,,ftlɤɦol
185,灶头,tsa33deu33,,tsau5,,间厨房,ktsdkæ̃ft
185,吃饭间,keq3vaen55kaen52,,keq7;chiq7vaen2;vaen6cien1,,,lltɕʰiʔvkæ̃
185,厕所间,tshy33so33kaen33,,cien1,,,llfttsʰsokæ̃
185,卫生间,we115san55kaen52,,we4;we6san1;seon1cien1,,厕所和洗澡间,lltlflɦusəŋkæ̃k
185,茅坑,mau11khan52,,kheon1,,厕所一般在室外,mɒkʰaŋi
185,露天,lu11thien11,,,,地下房屋外,tlutʰiẽdiɦol
185,屋顶,uoq3teon55,,tin3,,,luoʔtiŋ
185,屋脊,uoq3ciq5,,,,,fuoʔtɕɕi
185,屋檐,uoq3yen52,,,,,luoʔɦiẽi
185,廊下,laon11gho55,,gho4;gho6;yo4,,客厅的外廊,tlɒŋɦoyi
185,廊檐下,laon11yen55gho52,,gho4;gho6;yo4,,,klɒŋɦiɦo
185,梁,lian231,,,,,liaŋ
185,屋梁,uoq3lian52,,,,,luoʔliaŋ
185,廊柱,laon11jiu55,,,,柱,lɒŋdʑyf
185,柱脚,jiu115ciaq54,,,,,tldʑyltɕiaʔ
185,墩嗓,toen33saon52,,,,柱下石,
185,橡子,jian115tsy52,,tsy3;tseq7,,,tdzẽts
185,標条,pips11tiau52,,pips2trau1;diau2,,,
185,墙头,jian11deu52,,,,,tdʑiaŋdɤt
185,房外的墙,vaon11nga55tiq5jian52,,nga6;wa6,,,
185,房侧的墙,vaon11tseq5tiq5jian52,,tsheq7;tsheq7;tseoq7;tseoq7;tsheoq7;tsheoq7,,中间高两侧低形似山字,
185,山墙,saen33jian52,,,,,llsæ̃dʑiaŋtvlkll
185,隔墙,kaq3jian52,,kaq7;kaeq7,,房间之间的墙,kʰkdʑiaŋiltl
185,墙脚,jian11ciaq5,,,,墙根儿,dʑiaŋtɕiaʔll
185,天花板,thien33huo55paen52,,,,,ttʰiẽhuopæ̃
185,地搁板,di11koq1paen11,,8bo6;8bo6,,,dikoʔpæ̃l
185,地板,di11paen11,,,,,
186,第六章,di11loq1tsaon11,,,,,
186,地搁,di11koq1,,8bo6;8bo6,,,dikoʔ
186,楼搁栅,ieu11koq5saq54,,8bo6;8bo6saeq7;saeq7,,支撑楼板的木条,lkoʔsʔz
186,地坪,di11bin11,,,,大方砖,dibiŋʔkl
186,门,meen231,,,,,mẽ
186,门枋,meen11faon52,,,,门框,lmfɒŋl
186,门槛,meen11khaen55,,,,,kʰ
186,门栓,meen11seen52,,seen1;soen1,,,ltmsẽ
186,门杠,meen11gan55,,gan4;kaon1;kaon1;kaon5;kaon5;gaon4,,,ltlmẽkɒŋ
186,天打煞,thien33to55saeq54,,to3;tan3,,顶在大门横栓上的丁字形木柱,tʰiẽtaŋsʔkktt
186,门销,meen11shiau52,,,,门上的插销,miɒlt
186,排门,ba11meen52,,,,旧时商店由多扇排板拼成的门,tbamẽlllllllft
186,窗门,tshaon33meen52,,,,窗户,ftsʰɒŋmẽ
186,风窗,fon33tshaon52,,,,纸糊的窗户,foŋtsʰɒŋf
186,槽窗,za11tshaon52,,za2;dzau2;zau2;zau2,,有槽沟的可横向移动的窗户,fzɒtsʰɒŋt
186,老虎窗,lau115hu55tshaon52,,lau4;lau6,,屋顶斜面上直立的窗户,tflɒhutsʰɒŋlt
186,天窗,thien33tshaon52,,,,,tʰitsʰɒŋ
186,窗根,tshaon33keon52,,,,,fktsʰɒŋliŋs
186,窗格子,tshaon33kaq5tsy52,,kaq7;kaeq7tsy3;tseq7,,,
186,窗台,tshaon33the52,,de2,,,tsʰɒŋd
186,阳台,yan11the52,,yan2;ian1de2,,,llɦiaŋd
186,晒台,sa33the33,,de2,,,dsad
186,平台,bin11the52,,de2,,,biŋd
186,扶梯,bu11thi52,,du2;vu2;vu2;lu21;the1,,楼梯,tvutʰbutʰtt
186,胡梯,lu11thi52,,wu2;wu2;wu2;wu21;the1,,,fɦtʰltʰ
186,扶梯档,bu11thi55taon52,,du2;vu2;vu2;lu21;the1taon3;taon5,,楼梯的台阶,ktbtʰttt
186,扶栏,bu11laen52,,du2;vu2;vu2;lu2,,扶手,kvulæ̃kf
186,栅埒子,saq3laeq5tsy52,,saeq7;saeq7tsy3;tseq7,,栏杆,
186,烟肉,ien33gnio55,,gnio6;gnhioq7;gnioq8;gnioq8,,,iẽtsʰoŋ
186,井,cin335,,,,,ltɕiŋ
186,井栏,cin335laen52,,,,,tɕiŋlæ̃li
186,井口的石栏,cin335kheu55tiq5zaq5laen52,,zaq8;zeoq8,,,
186,井台,cin335the52,,de2,,,tɕiŋd
187,地容子,di11yon11tsy11,,yon2;yon4tsy3;tseq7,,,
187,水雷,sy335le52,,sy3;se3,,横在檐下接水的水漏管,kslittkkk
187,阴沟,in33keu52,,,,,iŋkiŋk
187,阳沟,yan11keu52,,yan2;ian1,,明沟,liaŋɦkɤl
187,窖缸,kau33kaon33,,cnpy;tc,&,深埋在地下的大缸用以承接下水道,iŋkɒŋtlkli
187,猪圈间,tsy33jien55kaen52,,jien4;chioen1cien1,,,tsɡiẽk
187,牛圈间,gnieu11jien55kaen52,,jien4;chioen1cien1,,,inidaiẽlkæ̃
187,狗窠,keu335kho52,,,,,kɤkʰo
187,鸡窠,ci33kho52,,,,,titɕikʰo
187,鸡笼,ci33lon52,,lon4,,,tɕiloŋs
187,鸡,ci52,,,,,tɕibu
188,真集,tseen33jiq5,,,,,
188,用首,yon11seu11,,,,,
188,硬木家生,ngan11moq1cia11san11,,ke1;ko1;ko1;ko1;cio1san1;seon1,,硬木家具,ŋaŋmoʔkoʔsaŋl
188,硬头家生,ngan11deu11cia11san11,,ke1;ko1;ko1;ko1;cio1san1;seon1,,,lŋaŋdɤikosaŋ
188,清水货,chin33sy55hu52,,sy3;se3,,指不上漆的木制家具,tiŋshull
188,桌子,tsoq3tsy55,,tsy3;tseq7,,,tsoʔts
188,方桌,faon33tsoq5,,,,,ifɒŋtsoʔ
188,小方桌,shiau335faon55tsoq54,,,,,lɕiɒfŋtsoʔ
188,四仙桌,sy33shien33tsoq3,,,,,llsɕiẽtsoʔ
188,八仙桌,paeq3shien55tsoq54,,,,大方桌,lʑpʔɕiẽtsoʔi
188,圆桌,yoen11tsoq5,,,,,iiɦitsoʔ
188,条桌,tiau33tsoq5,,trau1;diau2,,条案,ditsoʔʑ
188,长条桌,tsan335tiau55tsoq54,,tsan3;dzan2trau1;diau2,,,kfdzaŋdiɒtso
188,书桌,shiu33tsoq5,,,,,kɕytsoʔ
188,写字台,shia335zy55the52,,de2,,,ɕɕiazkd
188,打字台,to335zy55the52,,to3;tan3de2,,,taŋzdk
188,三屉桌,saen33thi55tsoq54,,,,,
188,梳头桌,su33deu55tsoq54,,tn5;tni5,,妆台,fɕydɤtsoʔ
188,吃饭桌,keq3vaen55tsoq54,,keq7;chiq7vaen2;vaen6,,饭桌,zttɕʰiʔvltsoʔtti
189,圆桌面,yoen11tsoq5mien52,,mien4;mien6;mien6;mien6,,用来加大饭桌台面的圆形木板,fɦitsoʔmiti
189,桌裙,tsoq3jioen52,,,,桌围,ktsoʔsʑiø̃
189,桌布,tsoq3pu55,,pu5,,,tsoʔpu
189,桌毯,tsoq3thaen55,,,,,ftsoʔtʰæ̃ʔ
189,茶几,dzo11ci52,,ci3;ct1;ci3;5;ci5;ci5,,,ldzotɕi
189,抽斗,tsheu33teu55,,teu5,,抽屉,tsʰtɤ
189,椅子,i335tsy52,,1;iu3tsy3;tseq7,,,ytsytsʔ
189,太师椅,tha33sy33i33,,1;iu3,,,ktʰasy
189,靠背椅,khau33pe33i33,,pe1;pe5;pe5;be6;be6;be61;iu3,,,kʰpy
189,背椅,pe33i55,,pe1;pe5;pe5;be6;be6;be61;iu3,,,tɡpy
189,马踏椅,mha33daeq5i52,,mha1;mo41;iu3,,躺椅,modʔyst
189,马踏椅子,mha33daeq5i55tsy52,,mha1;mo41;iu3tsy3;tseq7,,,ktfmodʔytss
189,藤椅,deon11i55,,1;iu3,,,ʑdŋʔʔy
189,竹椅子,tsoq3i55tsy52,,1;iu3tsy3;tseq7,,,ttsoʔytstsoʔytsʔ
189,凳,teon33,,,,,təŋ
189,春凳,tsheen33teon55,,,,方形的凳子,tsʰẽtəŋlf
189,方凳,faon33teon55,,,,,fɒŋtŋ
189,偏凳,phien33teon55,,phien1;phien3,,,spʰiẽtəŋ
189,矮方,a335faon52,,,,较矮的春凳,afɒŋt
189,兀头凳,ngeq1deu55teon52,,,,小方凳,
189,骨牌凳,kueq3ba55teon52,,kuēq7;kuoeq7;kuoq7,,长方形的凳子,kuʔbatəŋk
189,条凳,tiau33teon55,,trau1;diau2,,板凳,ditŋ
189,长凳,tsan335teon52,,tsan3;dzan2,,,ydzaŋtəŋ
189,小凳,shiau335teon52,,,,小板凳,lvɕiɒtəŋkt
189,矮凳,a335teon52,,,,,atəŋ
189,马扎,mha33tsaq5,,mha1;mo4tsaeq7;tsaeq7;tsaeq7;tsaeq7,,,
189,方便,faon33bien52,,bien6,,,
189,沙发,so33faeq5,,faeq7;faeq7,,英语的音译,sofʔsofat
189,椅垫,i335dien52,,1;iu3,,,tydiẽ
189,橱,jiu231,,,,,tdʑy
190,第七章,di11chiq1tsaon11,,,,,
190,衣橱,i33jiu52,,,,,idʑy
190,大橱,da11jiu11,,do6,,,ktɡo
190,三门大橱,saen33meen55da55jiu52,,do6,,,smẽdodʑy
190,五斗橱,wu115teu55jiu52,,ng4teu5,,,iŋtɤdʑy
190,书橱,shiu33jiu52,,,,,ɕydʑy
190,书架,shiu33cia55,,cru5;ko5,,,lyko
190,被橱,bi115jiu52,,dp4;bi6,,,fbidʑyllk
190,箱橱,shian33jiu52,,,,上面放箱子的矮柜,fiɕiaŋdʑyllllilk
190,顶箱橱,teon335shian55jiu52,,tin3,,,litiŋɕiaŋdʑy
190,床头橱,zaon11deu55jiu52,,,,,lkzɒŋdɤdʑy
190,床头柜,zaon11deu55jiu52,,gue6,,,lizɒŋʔdɡu
190,床脚柜,zaon11ciaq5jiu52,,gue6,,,lkfzɒŋtɕiaɡu
190,吊柜,tiau33jiu33,,gue6,,顶柜,itiɒɡull
190,眠床,meen11zaon52,,meen2;mien2,,床,llkmizɒŋ
190,全踏步,jien11daeq5bu52,,,,旧指把灯具洗脸架马桶箱橱柜做,dʑiẽdʔbullllk
190,半踏步,poen33daeq3bu33,,,,旧指只把灯具马桶箱做在一起的大木床,pdʔbull
190,床头,zaon11deu52,,,,,lzɒŋʔd
190,床沿,zaon11yen52,,yen2;yen6,,床边,lkzɒŋʔɦiẽlk
190,踏脚,daeq1ciaq5,,,,板床前踩脚的木板高约半尺宽约三,dʔʔtɕiaʔpæ̃liklt
190,尺,tshaq45,,lsridg7;tsheoq7,,长与床齐,k
190,铺床,phu33zaon52,,phu5;phu5,,,lpʰuzɒŋlk
190,木板床,moq1paen55zaon52,,,,,
190,铺板,phu33paen55,,phu5;phu5,,,tpʰup
190,折床,tseq3zaon52,,tseq7;tseq7;zeq8;zeq8,,折叠床,tsʔzɒŋ
190,钢丝床,kaon33sy55zaon52,,,,,kɒŋszɒŋ
190,帆布床,vaen11pu55zaon52,,pu5,,行军床,llvæ̃puzɒŋsil
190,竹踏,tsoq3daeq5,,,,竹床,tsoʔdʔk
190,竹榻,tsoq3thaeq5,,laeq7;daeq8,,竹床面床面和竹踏相同需架设在床上或长,tsoʔtʰʔltfflʑk
190,凳上使用,teon33zan33sy33yon33,,zan4;zaon4;zaon4;zaon4;zaon4;zaon6,,,
190,床埒竹,zaon11laeq5tsoq54,,,,用篾丝编扎竹片成床板可卷起放置,
191,棕绷,tson33pan52,,,,,ftsoŋpaŋ
191,藤绷,deon11pan52,,,,藤制的棕绷,ʑdəŋpaŋkt
191,席梦思,jiq1mon55sy52,,zhiq8;zhiq8,,弹簧床垫,lʑiʔmoŋsk
191,马桶箱,mha33don55shian52,,mha1;mo4,,放马桶的木箱,kmodoŋɕiaŋli
191,夜壶箱,ya11wu11shian11,,,,,ɦiaɦuɕiaŋ
191,箱子,shian33tsy55,,tsy3;tseq7,,,iɕiaŋts
191,皮箱,bi11shian52,,,,,biɕiaŋ
191,帆布箱,vaen11pu55shian52,,pu5,,,ivæ̃puɕiaŋ
191,藤箱,deon11shian52,,,,,idəŋɕiaŋ
191,竹丝箱,tsoq3sy55shian52,,,,放被褥的箱子,tsoʔskɕiaŋlf
191,樟木箱,tsan33moq5shian52,,tsaon1;tsaon1,,,ftsŋmoʔɕiaŋ
191,书箱,shiu33shian52,,,,,ɕyɕiaŋ
191,手提箱,seu335di55shian52,,,,,isɤdiɕiaŋ
191,手提包,seu335di55pa52,,pau1,,,tsɤdipɒ
191,旅行包,li115ghan55pa52,,liu4;114;liu4yin2;yin2;ghaon2;ghaon2pau1,,,iliɦiŋpɒ
191,旅行袋,li115ghan55de52,,liu4;114;liu4yin2;yin2;ghaon2;ghaon2,,,liɦiŋd
191,藤篮,deon11laen52,,,,带藤环的竹篮,dəŋlæ̃l
191,孟子,man11tsy11,,tsy3;tseq7,,盒子,
191,匣子,ghaeq1tsy55,,tsy3;tseq7,,,lɦʔtsk
191,网,maon113,,,,线袋,kmɒŋɕiẽd
191,铺盖,phu33ke55,,phu5;phu5,,,tpʰuk
191,被头,bi115deu52,,dp4;bi6,,,i
191,被子,bi115tsy52,,dp4;bi6tsy3;tseq7,,,
191,花絮,huo33shi55,,eie,,,huoi
191,被絮,bi115shi52,,dp4;bi6eie,,,
191,棉被,mien11bi55,,dp4;bi6,,,tmiẽbi
191,夹被,kaeq3bi55,,kaeq7;kaeq7;gaeq8;gaeq8dp4;bi6,,,kkʔbi
191,被洞,bi115don52,,dp4;bi6,,被窝儿,bidoŋl
191,被嘴捂头,bi115tsy55u55deu52,,dp4;bi6tsy3;tse3,,,bitsudɤ
191,被头,bi115deu52,,dp4;bi6,,,i
191,被面,bi115mien52,,dp4;bi6mien4;mien6;mien6;mien6,,,bimiẽ
192,第七章,di11chiq1tsaon11,,,,,
192,被外,bi115nga52,,dp4;bi6nga6;wa6,,,tlbiŋabæ̃
192,被单,bi115taen52,,dp4;bi6taen1;zeen4;zeen4;zoen4,,被里,lfbitl
192,被里,bi115li52,,dp4;bi6li4;114;li4,,,bilib
192,垫被,dien11bi11,,dp4;bi6,,褥子,diẽbikf
192,床毯,zaon11thaen55,,,,床单,lktzɒŋtʰæ̃lk
192,毯子,thaen335tsy52,,tsy3;tseq7,,,ttʰtsʔ
192,枕头,tseen335deu52,,,,,ktsẽdɤs
192,枕头套,tseen335deu55thau52,,,,,ttsdɤtʰ
192,枕头衣,tseen335deu55i52,,,,,tsẽdɤi
192,枕头心子,tseen335deu55shin55tsy52,,tsy3;tseq7,,,ktsdɤɕiŋts
192,枕巾,tseen335cin52,,,,,
192,竹席,tsoq3jiq5,,zhiq8;zhiq8,,,litsoʔʑiʔi
192,草席,tshau335jiq54,,zhiq8;zhiq8,,,iiltsʰɒʑiʔ
192,蒲席,bu11jiq5,,bu2;bu2zhiq8;zhiq8,,,ibuʑiʔ
192,帐子,tsan33tsy33,,tsy3;tseq7,,,kftsaŋtstsaŋtsʔ
192,蚊帐,meen11tsan55,,meen2;veen2,,,tkvẽʔtsaŋ
192,帐帘,tsan33lien33,,,,,tsaŋli
192,帐顶,tsan33teon33,,tin3,,,ltsaŋtiŋ
192,帐门,tsan33meen33,,,,,tsaŋm
192,帐钩,tsan33keu33,,,,,ktsaŋki
192,帐杆棒,tsan33keen33baon33,,,,细竿,fftsaŋkbɒŋk
192,撑杆棒,tshan33keen55baon52,,tshan5;lstiar15;dzan2;dzan2;tsheon1;tsheon5;tsheon5,,,ftsʰaŋkẽbɒŋ
192,窗帘,tshaon33lien52,,,,,itsɒŋlis
192,门幕,meen11mu55,,mu6;mo6;mo6;moq8,,门帘,mẽmoʔi
192,竹夫人,tsoq3fu55zeen52,,gnin2,,,tsoʔfuiŋklllf
192,草垫子,tshau335dien55tsy52,,tsy3;tseq7,,,tsʰɒdiẽss
192,棕垫,tson33dien55,,,,,ltsoŋdi
192,蒲墩,bu11toen52,,bu2;bu2,,蒲叶或竹叶做的小的厚垫子,ilbutølllllf
192,稿荐,kau335cien52,,cien5;cien5,,,fʔkɒtɕiẽ
193,生活笑,san33weq5shiau52,,san1;seon1wog8;woeq8;woq8;woq8,,,
193,窝篮,u33laen52,,tn;to,,竹制婴儿卧床,folæ̃dal
193,烘罩,huon33tsau55,,,,烘干尿布的竹罩,liihuoŋbutsɒslk
193,囤窠,doen11kho52,,doen4;doen4,,可容婴儿冬日站立的桶形器具下面有火盆取暖,
193,高凳,kau33teon55,,,,供婴儿坐的高凳子,ktəŋl
193,坐车,zo115ciu52,,cru1;tsho1,,推着婴儿走动的小车,zotsʰo
193,大灶,da11tsa11,,do6tsau5,,指双眼三眼或四眼较大的锅台,kotsɒllf
193,灶眼,tsa33ngaen33,,tsau5,,灶门,kltsɒŋæ̃kl
193,灶肚,tsa33tu33,,tsau5tu5;du4,,,tsɒdutt
193,镁肚,tu335,,tu5;du4,&,,
193,灰仓,hue33tshaon52,,,,灶后放置草木灰的地方,hutsʰɒŋkl
193,灶口,tsa33kheu33,,tsau5,,在锅台后头烧火的地方,tshakll
193,灶埒,tsa33laeq3,,tsau5,,锅台上一横一竖的木板可以拦截锅台上的溢水,
193,缸灶,kaon33tsa55,,tsau5,,用小缸做的炉灶,tkɒŋtsŋfl
193,风炉,fon33lu52,,,,铁制小炉子便于移动,foŋlutfii
193,炉栅,lu11saq5,,saeq7;saeq7,,炉算子,lusʔ
193,火筒,hu335don52,,,,吹火筒,khudoŋlkt
193,火添,hu335thien52,,,,,
