split	page	row_index	hanzi	wupin	ipa	ipa_digits	image	quality	match_score	candidate_headword	pdf_text	crop_bbox	tone_position	tone_upper_components	tone_lower_components	tone_paired_components	tone_baseline_y
train	123	21	大风	do11fon11	dɒ¹¹foŋ¹¹	dɒ11foŋ11	train/images/page_123_0021.png	matched	1.0	大风	大风do 11 fo1J行	(261.0, 1014.0, 348.0, 1049.5)	both_upper_lower	4	1	2	112.71
train	123	22	暴风	pau33fon33	pɤ³³foŋ³³	pɤ33foŋ33	train/images/page_123_0022.png	matched	1.0	暴风	"暴风po33fol)芬(I) 杜丿凡( 2 ) 台风C"" 暴＂．或以为是“报”的"	(262.0, 1052.0, 369.0, 1090.0)	upper_only	6	0	0	120.78
train	123	23	风暴	fon33pau55	foŋ³³pɤ⁵⁵	foŋ33pɤ55	train/images/page_123_0023.png	matched	1.0	风暴	风暴fol)npoii	(285.0, 1170.0, 374.00018310546875, 1209.25)	upper_only	5	0	0	120.32
train	123	24	台风	de11fon52	dᴇ¹¹foŋ⁵²	dᴇ11foŋ52	train/images/page_123_0024.png	matched	1.0	台风	台风d盐foIJ52	(262.0, 1210.0, 356.0, 1245.5)	upper_only	5	0	0	112.77
train	123	25	乌风猛暴	u33fon55man55pau52	u³³foŋ⁵⁵maŋ⁵⁵pɤ⁵²	u33foŋ55maŋ55pɤ52	train/images/page_123_0025.png	matched	1.0	乌风猛暴	乌风猛暴ufi foIJ甘m叨扩poB 指夏季刮台风时阴云密布、狂风拔树	(310.0, 1247.0, 401.0, 1286.25)	both_upper_lower	4	2	3	122.16
review	124	0	龙风	lon11fon52	loŋ¹¹foŋ⁵²	loŋ11foŋ52	review/images/page_124_0000.png	weak_match	0.5	龙	龙［卷］风lOIJ和[tc;i础]foIJ52	(184.0, 188.0, 279.0, 224.75)	both_upper_lower	2	2	1	102.90
train	124	1	鬼子头风	ciu335tseq5deu55fon52	tɕy³³⁵tsᴇʔ⁵də⁵⁵foŋ⁵²	tɕy335tsᴇʔ5də55foŋ52	train/images/page_124_0001.png	matched	0.75	鬼了头风	鬼了头风tc;y儿s tse背d砌fol) 52 旋风。	(256.0, 226.0, 332.0, 261.5)	lower_only	3	1	0	116.00
train	124	2	顺风	zeen11fon11	zẽ¹¹foŋ¹¹	zẽ11foŋ11	train/images/page_124_0002.png	matched	1.0	顺风	顺风zc11fog扞	(208.0, 260.0, 293.0, 303.0)	lower_only	3	1	0	144.12
train	124	3	顶头风	tin335deu55fon52	tiŋ³³⁵də⁵⁵foŋ⁵²	tiŋ335də55foŋ52	train/images/page_124_0003.png	matched	1.0	顶头风	顶头风tig335d灼foI] ~2	(232.00010681152344, 304.0, 373.0, 339.5)	both_upper_lower	9	2	5	115.64
train	124	4	斗风	teu335fon52	tə³³⁵foŋ⁵²	tə335foŋ52	train/images/page_124_0004.png	matched	1.0	斗风	"斗风t'ls""33 fol) ~~"	(233.0, 343.0, 315.00018310546875, 379.75)	both_upper_lower	3	1	1	114.67
train	124	5	斗头风	teu335deu55fon52	tə³³⁵də⁵⁵foŋ⁵²	tə335də55foŋ52	train/images/page_124_0005.png	matched	1.0	斗头风	斗头风t1<33d咄fol)52	(258.0002136230469, 383.0, 384.0, 417.25)	both_upper_lower	6	2	4	110.65
train	124	6	穿堂风	tsheen33daon55fon52	tsʰẽ³³dɒŋ⁵⁵foŋ⁵²	tsʰẽ33dɒŋ55foŋ52	train/images/page_124_0006.png	matched	1.0	穿堂风	"穿堂风ts""础doJJ穸fol) 52"	(234.0, 421.0, 318.0, 459.0)	both_upper_lower	2	3	4	120.37
train	124	7	云	yoen231	ɦiø̃²³¹	ɦiø̃231	train/images/page_124_0007.png	matched	1.0	云	云朊沪云彩。	(184.0, 461.0, 273.0, 499.0)	upper_only	3	0	0	116.49
review	124	8	云头	yoen11deu52	ɦiø̃¹¹də⁵²	ɦiø̃11də52	review/images/page_124_0008.png	weak_match	0.5	乙头	乙头fi咄d砌云块。	(208.0, 500.0, 324.0, 538.0)	both_upper_lower	6	4	7	113.43
train	124	9	乌云	u33yoen52	u³³ɦiø̃⁵²	u33ɦiø̃52	train/images/page_124_0009.png	matched	1.0	乌云	乌云u{i fii础	(207.0, 539.0, 287.0, 575.75)	both_upper_lower	5	1	2	114.38
train	124	11	瓦爿云	ngo115baen55yoen52	ŋɒ¹¹⁵bæ̃⁵⁵ɦiø̃⁵²	ŋɒ115bæ̃55ɦiø̃52	train/images/page_124_0011.png	matched	0.6667	瓦井云	瓦井云1)0 : :fo諒I fi面铲	(255.00021362304688, 617.0, 361.0, 653.75)	both_upper_lower	3	4	5	108.06
train	124	12	火烧云	hu335sau55yoen52	hu³³⁵sɤ⁵⁵ɦiø̃⁵²	hu335sɤ55ɦiø̃52	train/images/page_124_0012.png	matched	1.0	火烧云	火烧云hu335so~rni础手	(231.00010681152344, 656.0, 329.0, 694.0)	both_upper_lower	5	4	7	113.71
train	124	13	大雷	do11le11	dɒ¹¹lᴇ¹¹	dɒ11lᴇ11	train/images/page_124_0013.png	matched	1.0	大雷	大雷do' ' L础雷。	(208.0, 695.0, 306.0, 734.25)	both_upper_lower	5	2	5	115.20
train	124	14	大雷公公	do11lo11kuon11kuon11	dɒ¹¹lɒ¹¹kuoŋ¹¹kuoŋ¹¹	dɒ11lɒ11kuoŋ11kuoŋ11	train/images/page_124_0014.png	matched	0.75	人雷公公	人雷公公do1 1 比和kuo梯kUOIJ52 对宙的拟人称呼：～响，背得老	(260.0, 734.0, 378.0, 772.0)	lower_only	2	1	0	116.59
train	124	15	霹雳雷	phiq3liq5le52	pʰiʔ³liʔ⁵lᴇ⁵²	pʰiʔ3liʔ5lᴇ52	train/images/page_124_0015.png	matched	1.0	霹雳雷	霹雳雷p灯e?判e?引咄霹雳。	(233.00010681152344, 813.0, 332.0, 851.0)	both_upper_lower	4	1	1	111.98
review	124	16	沉雷	dzeen11le11	dzẽ¹¹lᴇ¹¹	dzẽ11lᴇ11	review/images/page_124_0016.png	weak_match	0.5	沉宙	沉宙dz即l咄闷「甘。	(208.0, 851.0, 324.0, 889.0)	both_upper_lower	6	7	13	109.05
review	124	17	响雷	shian335le52	ɕiaŋ³³⁵lᴇ⁵²	ɕiaŋ335lᴇ52	review/images/page_124_0017.png	weak_match	0.5	响出	响出~iaIJ335 l咄	(208.0, 890.0, 309.0, 928.0)	both_upper_lower	6	3	4	114.18
train	124	18	霍闪	huoq3seen55	huoʔ³sẽ⁵⁵	huoʔ3sẽ55	train/images/page_124_0018.png	matched	1.0	霍闪	霍闪huo背s础，bua?i's础闪电。	(208.0, 929.0, 279.0, 967.0)	both_upper_lower	2	2	3	108.92
train	124	19	霍闪娘娘	huoq3seen55gnian55gnian52	huoʔ³sẽ⁵⁵ȵiaŋ⁵⁵ȵiaŋ⁵²	huoʔ3sẽ55ȵiaŋ55ȵiaŋ52	train/images/page_124_0019.png	matched	1.0	霍闪娘娘	霍闪娘娘huo?胚睬加aIJ矿n,ia咄，hua符se~妞iaIJ铲几iaIJ扩对闪屯	(257.0, 968.0, 405.0, 1007.25)	lower_only	7	1	0	119.34
train	124	21	雨	yu113	ɦy¹¹³	ɦy113	train/images/page_124_0021.png	matched	1.0	雨	雨fiy'13	(185.0, 1126.0, 233.0, 1160.25)	upper_only	3	0	0	106.53
train	124	22	大雨	do11yu11	dɒ¹¹ɦy¹¹	dɒ11ɦy11	train/images/page_124_0022.png	matched	1.0	大雨	大雨do11fiy炉	(209.0, 1164.0, 295.0, 1199.5)	both_upper_lower	1	2	1	108.48
train	124	23	呆大雨	nge11do55yu52	ŋᴇ¹¹dɒ⁵⁵ɦy⁵²	ŋᴇ11dɒ55ɦy52	train/images/page_124_0023.png	matched	1.0	呆大雨	呆大雨lJ畔do ~rny扩	(257.00010681152344, 1203.0, 362.0, 1241.0)	both_upper_lower	3	1	1	113.36
train	124	24	阵头	dzeen11deu11	dzẽ¹¹də¹¹	dzẽ11də11	train/images/page_124_0024.png	matched	1.0	阵头	阵头［雨] dz芒d础[fiy ::3 ] 雷阵雨。	(209.0, 1241.0, 308.0, 1280.25)	both_upper_lower	1	3	1	113.86
train	124	25	赶狗阵	keen335keu55dzeen52	kẽ³³⁵kə⁵⁵dzẽ⁵²	kẽ335kə55dzẽ52	train/images/page_124_0025.png	matched	1.0	赶狗阵	赶狗阵k砂k咄dz拟持续时1讨短的雷阵雨。	(233.00010681152344, 1281.0, 344.0, 1319.0)	both_upper_lower	6	2	4	108.37
train	125	0	毛稍雨	mau11sau55yu52	mɤ¹¹sɤ⁵⁵ɦy⁵²	mɤ11sɤ55ɦy52	train/images/page_125_0000.png	matched	1.0	毛稍雨	毛稍雨mo和so~rnyg3细雨。	(281.0, 164.0, 415.0, 200.75)	both_upper_lower	6	3	5	113.18
train	125	1	磨碎雨	mo11se55yu52	mɒ¹¹sᴇ⁵⁵ɦy⁵²	mɒ11sᴇ55ɦy52	train/images/page_125_0001.png	matched	1.0	磨碎雨	磨碎雨moif'sF.裴fiy矿	(305.0000915527344, 203.0, 415.0, 241.0)	both_upper_lower	6	6	8	113.18
train	125	2	雨毛丝	yu115mau55sy52	ɦy¹¹⁵mɤ⁵⁵sɿ⁵²	ɦy115mɤ55sɿ52	train/images/page_125_0002.png	matched	1.0	雨毛丝	雨毛丝fiy盄mo和s1s2毛T:1¥1	(281.0, 242.0, 355.0, 280.0)	both_upper_lower	3	1	2	112.39
train	125	3	雨点	yu115tien52	ɦy¹¹⁵tiẽ⁵²	ɦy115tiẽ52	train/images/page_125_0003.png	matched	1.0	雨点	雨点fiy盄ti邸	(257.0, 281.0, 349.0, 319.0)	both_upper_lower	6	3	4	111.56
review	125	4	雨脚	yu115ciaq54	ɦy¹¹⁵tɕiaʔ⁵⁴	ɦy115tɕiaʔ54	review/images/page_125_0004.png	weak_match	0.5	向脚	向脚fiy出t~ia?~指阳滴下垂成钱状：～晤有断过，天时还锐	(258.0, 320.0, 392.0, 358.0)	both_upper_lower	3	3	3	108.47
review	125	5	雾露	wu11lu11	ɦu¹¹lu¹¹	ɦu11lu11	review/images/page_125_0005.png	promoted_low_cer0.2	0.0	劣森	劣森fiu 11 lu 11~妇	(258.0, 397.0, 340.0, 432.5)	upper_only	2	0	0	112.16
review	125	6	雾气	wu11chi11	ɦu¹¹tɕʰi¹¹	ɦu11tɕʰi11	review/images/page_125_0006.png	weak_match	0.5	劣气	劣气fiu 11 tep1咐	(282.0, 436.0, 371.0, 470.25)	both_upper_lower	3	1	2	114.39
review	125	7	露水	lu11sy11	lu¹¹sɿ¹¹	lu11sɿ11	review/images/page_125_0007.png	weak_match	0.5	森水	"森水lu ""s雷"	(258.0, 476.0, 331.0, 514.0)	both_upper_lower	5	2	4	116.65
review	125	8	霜	saon52	sɒŋ⁵²	sɒŋ52	review/images/page_125_0008.png	promoted_low_cer0.2	0.0	和	'和 I -. SOI)<2 	(234.0, 508.80999755859375, 288.9321594238281, 553.0)	upper_only	2	0	0	149.66
train	125	9	冰	pin52	piŋ⁵²	piŋ52	train/images/page_125_0009.png	matched	1.0	冰	冰p il)5J	(234.0, 554.0, 283.0, 588.25)	upper_only	3	0	0	121.80
train	125	10	蟹壳冰	ha335khoq5pin52	ha³³⁵kʰoʔ⁵piŋ⁵²	ha335kʰoʔ5piŋ52	train/images/page_125_0010.png	matched	1.0	蟹壳冰	蟹壳冰ha33s k1io背pil)52油冰。	(281.0, 592.0, 359.0, 627.5)	upper_only	4	0	0	112.90
train	125	11	葱管糖	tshon33kuoen55daon52	tsʰoŋ³³kuø̃⁵⁵dɒŋ⁵²	tsʰoŋ33kuø̃55dɒŋ52	train/images/page_125_0011.png	matched	0.6667	葱管柄	葱管柄tS11。I)节ku础dOIJ智，ts11~IJliku础doIJ约指压椋下的冰鼎(	(283.0000915527344, 631.0, 371.0, 670.25)	upper_only	3	0	0	117.54
review	125	12	雪	shiq45	ɕiʔ⁴⁵	ɕiʔ45	review/images/page_125_0012.png	promoted_low_cer0.2	0.0	飞	飞~ie?45	(234.0, 671.0, 291.0, 705.25)	upper_only	4	0	0	113.92
train	125	13	雪子	shiq3tsy55	ɕiʔ³tsɿ⁵⁵	ɕiʔ3tsɿ55	train/images/page_125_0013.png	matched	1.0	雪子	雪子ep ie?汽s儒诙	(259.0, 709.0, 366.0, 747.0)	both_upper_lower	7	4	6	116.96
train	125	16	冰雹	pin33boq5	piŋ³³boʔ⁵	piŋ33boʔ5	train/images/page_125_0016.png	matched	1.0	冰雹	冰雹piIJ ~~bo?轧pil)~如b咄	(283.0, 827.0, 362.0, 866.25)	upper_only	4	0	0	117.94
train	125	17	天家	thien33ko52	tʰiẽ³³kɒ⁵²	tʰiẽ33kɒ52	train/images/page_125_0017.png	matched	1.0	天家	天家们睬K忒天时，大气。	(259.0, 905.0, 384.0, 943.0)	both_upper_lower	4	4	5	109.31
train	125	18	晴天	jin11thien52	dʑiŋ¹¹tʰiẽ⁵²	dʑiŋ11tʰiẽ52	train/images/page_125_0018.png	matched	1.0	晴天	晴天也ii)和th i守	(260.0, 943.0, 346.0, 981.0)	upper_only	5	0	0	116.73
train	125	19	皎致晴天	ciau33tsy55jin55thien52	tɕiɤ³³tsɿ⁵⁵dʑiŋ⁵⁵tʰiẽ⁵²	tɕiɤ33tsɿ55dʑiŋ55tʰiẽ52	train/images/page_125_0019.png	matched	0.75	皎致眙天	皎致眙天t~io甘ts裕d~ilJ~叶i铲眙空万叩的天气	(308.0, 983.0, 444.0, 1022.25)	both_upper_lower	6	3	5	114.98
train	125	20	阴天	in33thien52	iŋ³³tʰiẽ⁵²	iŋ33tʰiẽ52	train/images/page_125_0020.png	matched	1.0	阴天	阴天ii)甘t冈守	(260.0, 1022.0, 344.0, 1058.75)	upper_only	5	0	0	115.74
train	125	22	落雨天	loq1yu55thien52	loʔ¹ɦy⁵⁵tʰiẽ⁵²	loʔ1ɦy55tʰiẽ52	train/images/page_125_0022.png	matched	1.0	落雨天	落雨天lo?f3 fiyl冲ie~2由天。	(284.0000915527344, 1100.0, 359.0, 1138.0)	both_upper_lower	2	1	2	108.78
train	125	23	梅雨	me11yu55	mᴇ¹¹ɦy⁵⁵	mᴇ11ɦy55	train/images/page_125_0023.png	matched	1.0	梅雨	梅雨mE~f'fiy扩农历五月黄梅季节的连阳陬	(261.0, 1140.0, 359.0, 1178.0)	both_upper_lower	2	3	3	111.06
train	125	24	养花天	yan115huo55thien52	ɦaŋ¹¹⁵huɒ⁵⁵tʰiẽ⁵²	ɦaŋ115huɒ55tʰiẽ52	train/images/page_125_0024.png	matched	1.0	养花天	养花天fiiaIJ盄huo旷i守指春后半睛半雨、有利于棉花生长的人立一(c	(283.0, 1179.0, 378.0, 1217.0)	both_upper_lower	3	3	3	116.21
train	125	25	黄梅天	waon11me55thien52	ɦɒŋ¹¹mᴇ⁵⁵tʰiẽ⁵²	ɦɒŋ11mᴇ55tʰiẽ52	train/images/page_125_0025.png	matched	0.6667	黄梅夭	黄梅夭fiUDI)和IDE铲thieS2 指农历五月多雨的潮湿天气。	(284.0000915527344, 1217.0, 384.0, 1255.0)	both_upper_lower	2	1	2	119.21
review	125	26	梅天	me11thien52	mᴇ¹¹tʰiẽ⁵²	mᴇ11tʰiẽ52	review/images/page_125_0026.png	weak_match	0.5	梅夭	梅夭m础t11i铲	(284.0, 1256.0, 359.0, 1292.75)	both_upper_lower	2	1	2	112.80
train	125	27	雾天	wu11thien11	ɦu¹¹tʰiẽ¹¹	ɦu11tʰiẽ11	train/images/page_125_0027.png	matched	1.0	雾天	雾天fiuII t灯諒	(260.0, 1295.0, 349.0, 1331.75)	upper_only	2	0	0	115.46
train	126	3	潮煞天	dzau11saeq5thien52	dzɤ¹¹sæʔ⁵tʰiẽ⁵²	dzɤ11sæʔ5tʰiẽ52	train/images/page_126_0003.png	matched	0.6667	潮煞人	潮煞人dzo铲s泛汗t'花”	(257.0, 296.0, 373.0, 334.0)	both_upper_lower	5	5	5	115.40
train	126	5	秋赖柴	chieu33la55za52	tɕʰiə³³la⁵⁵za⁵²	tɕʰiə33la55za52	train/images/page_126_0005.png	matched	1.0	秋赖柴	"秋赖柴tc""i戏la11za罚指初秋时II旧时雨的天）心"	(234.00021362304688, 414.0, 352.0, 453.25)	upper_only	7	0	0	116.94
train	126	6	秋老虎	chieu33lau55hu52	tɕʰiə³³lɤ⁵⁵hu⁵²	tɕʰiə33lɤ55hu52	train/images/page_126_0006.png	matched	0.6667	秋匕虎	"秋匕虎tv ""战1础hu铲指汀秋们仍然炎热的犬气。"	(228.00021362304688, 453.0, 351.0, 492.25)	both_upper_lower	7	4	7	115.46
train	126	8	地皮	di11bi11	di¹¹bi¹¹	di11bi11	train/images/page_126_0008.png	matched	1.0	地皮	地皮di 11b讲1卜地	(203.0, 648.0, 300.0, 683.5)	both_upper_lower	7	2	5	113.78
train	126	9	地界	di11ka11	di¹¹ka¹¹	di11ka11	train/images/page_126_0009.png	matched	1.0	地界	"地界di "" ka ;;地区"	(205.0, 688.0, 295.0, 726.0)	both_upper_lower	5	2	4	110.30
train	126	11	河头水脚	gho11deu55sy55cian52	ɦɒ¹¹də⁵⁵sɿ⁵⁵tɕiaŋ⁵²	ɦɒ11də55sɿ55tɕiaŋ52	train/images/page_126_0011.png	matched	0.75	河头水	"河头水脚fio和d讨咄如a1Js2指们河湖汤池的地方('""脚"" tc;:ia745 "	(231.00010681152344, 760.5172729492188, 314.0, 805.8002319335938)	upper_only	3	0	0	129.64
review	126	12	平地	bin11di55	biŋ¹¹di⁵⁵	biŋ11di55	review/images/page_126_0012.png	weak_match	0.5	平	平」也b ilJ计' di 县	(181.0, 843.0, 273.0, 881.0)	upper_only	3	0	0	108.75
review	126	13	笡坡	chia33pho33	tɕʰia³³pʰɒ³³	tɕʰia33pʰɒ33	review/images/page_126_0013.png	weak_match	0.5	坡	I·. F坡	(405.0, 872.222412109375, 433.0, 923.2823486328125)	no_detected_tone_digits	0	0	0	196.38
review	126	14	坡地	pho33di55	pʰɒ³³di⁵⁵	pʰɒ33di55	review/images/page_126_0014.png	weak_match	0.5	符坡	符坡t凸an旷o:\i	(206.0, 882.0, 313.0, 920.0)	both_upper_lower	6	1	2	115.17
review	126	15	田地	dien11di55	diẽ¹¹di⁵⁵	diẽ11di55	review/images/page_126_0015.png	weak_match	0.5	坡地	坡地pho1M谌	(207.0, 921.0, 289.0, 959.0)	both_upper_lower	6	4	6	116.65
review	126	17	大田	do11dien11	dɒ¹¹diẽ¹¹	dɒ11diẽ11	review/images/page_126_0017.png	weak_match	0.5	大	"大Ill do"" d 元铲旧指自打的口，现指大片相迕的水田。"	(182.0, 1039.0, 254.0, 1077.0)	upper_only	1	0	0	104.23
review	126	20	田爿	dien11baen52	diẽ¹¹bæ̃⁵²	diẽ11bæ̃52	review/images/page_126_0020.png	promoted_low_cer0.2	0.0	月	Ill 月dj础b元扩	(229.0, 1156.0, 310.0, 1192.75)	upper_only	5	0	0	112.23
train	126	21	田埭	dien11da55	diẽ¹¹da⁵⁵	diẽ11da55	train/images/page_126_0021.png	matched	1.0	田埭	田埭［卫] dj甜da且[Ii耜］	(231.0, 1194.0, 322.0, 1233.25)	both_upper_lower	2	2	2	112.00
train	126	23	田埂	dien11kan55	diẽ¹¹kaŋ⁵⁵	diẽ11kaŋ55	train/images/page_126_0023.png	matched	1.0	田埂	田埂d 元铲kalJ铲	(232.0, 1273.0, 317.0, 1311.0)	both_upper_lower	3	3	3	113.60
train	127	0	烂水低田	laen11sy11ti11dien11	læ̃¹¹sɿ¹¹ti¹¹diẽ¹¹	læ̃11sɿ11ti11diẽ11	train/images/page_127_0000.png	matched	0.75	烂水低山	"烂水低山l无"" s儒t母d元；；I , 常年积水尤让排除的低川"	(299.0, 158.0, 381.0, 194.75)	upper_only	3	0	0	122.33
review	127	1	𡏘沟	gho11keu11	ɦɒ¹¹kə¹¹	ɦɒ11kə11	review/images/page_127_0001.png	weak_match	0.5	谡沟	谡沟60 11k沈田间卅积十肥的浅坑。	(252.0, 198.0, 350.0, 234.75)	both_upper_lower	4	2	3	106.78
train	127	2	地	di11	di¹¹	di11	train/images/page_127_0002.png	matched	1.0	地	"地d i""早地。"	(230.0, 237.0, 292.0, 275.0)	upper_only	3	0	0	107.16
review	127	3	园地	yoen11di55	ɦiø̃¹¹di⁵⁵	ɦiø̃11di55	review/images/page_127_0003.png	weak_match	0.5	园	园地fii础diH菜地	(228.0, 275.0, 344.0, 314.25)	both_upper_lower	4	4	1	109.50
train	127	4	地条	di11diau11	di¹¹diɤ¹¹	di11diɤ11	train/images/page_127_0004.png	matched	1.0	地条	地条di11dio和Ill 边菜地。	(254.0, 314.0, 361.0, 352.0)	both_upper_lower	6	2	4	113.05
review	127	5	田㽘	dien11gaon55	diẽ¹¹ɡɒŋ⁵⁵	diẽ11ɡɒŋ55	review/images/page_127_0005.png	weak_match	0.5	田吭	田吭di础go1Jl~-' 畦问较低的小迫。	(254.0, 353.0, 379.0, 391.0)	both_upper_lower	8	1	1	114.32
review	127	6	熟地	zoq1di55	zoʔ¹di⁵⁵	zoʔ1di55	review/images/page_127_0006.png	weak_match	0.5	熟	熟地zo?~d谌经过多年耕种的上地。	(230.0, 391.0, 315.0, 431.5)	both_upper_lower	2	1	1	116.38
train	127	7	荒地	huaon33di55	huɒŋ³³di⁵⁵	huɒŋ33di55	train/images/page_127_0007.png	matched	1.0	荒地	荒地hUOJJ甘d出	(255.0, 432.0, 329.0, 470.0)	lower_only	1	1	0	111.84
