合并状态,source_page,pdf_page,词条,OCR行号,OCR页码,OCR汉字,VLM_IPA,OCR_IPA,IPA完全相同,IPA数字相同,IPA音段相同,IPA只有数字不同,IPA相似度,VLM吴拼_由IPA反推,OCR吴拼,吴拼完全相同,吴拼数字相同,吴拼字母相同,吴拼只有数字不同,吴拼相似度,VLM吴拼反推状态,VLM_IPA来源,VLM_原始IPA字段,VLM_ipa_raw,VLM置信度,VLM备注,OCR后续汉字
两边都有,259,137,舞,6,259,舞,ɦu231,ɦu231,是,是,是,否,1.0,wu231,wu231,是,是,是,否,1.0,ok,syllables_json.final,ɦu231,ɦu231,0.9,,舞6u231
两边都有,259,137,舞台,20,259,舞台,ɦu231dᴇ52,ɦu11tʰᴇ52,否,否,否,否,0.555556,wu231de52,wu11the52,否,否,否,否,0.555556,ok,syllables_json.final,ɦu231dᴇ52,ɦu231dᴇ52,0.9,,舞台fiu铲d啤
两边都有,259,137,话剧,2,259,话剧,ɦuo11dʑieʔ5,ɦo11dʑieʔ1,否,否,否,否,0.818182,wo11jiq5,gho11jiq1,否,否,否,否,0.666667,ok,syllables_json.final,ɦuo11dʑieʔ5,ɦuo11dʑieʔ5,0.9,,话剧fiuo11如e?r
两边都有,259,137,音乐会,5,259,音乐会,iŋ33ɦio5ɦuᴇ11,iŋ33ɦiøʔ5ɦu55dɤ52,否,否,否,否,0.529412,in33yo5we11,in33yoeq5wu55deu52,否,否,否,否,0.5,ok,syllables_json.final,iŋ33ɦioʔ5ɦu11,iŋ33ɦio5ɦuᴇ11,0.9,,音乐会i1J~ifiio?}1fiu忒
两边都有,259,137,鬼戏,19,259,鬼戏,tɕy335ɕi52,tsɿ335ɕi52,否,是,否,否,0.8,ciu335shi52,tsy335shi52,否,是,否,否,0.727273,ok,syllables_json.final,ty335ɕi52,tɕy335ɕi52,0.9,,鬼戏t~yJ.IS~i甘
仅VLM,259,137,图画,,,,du11ɦuo55,,否,否,否,否,,du11wo55,,否,否,否,否,,ok,syllables_json.final,du11ɦuo55,du11ɦuo55,0.9,,
仅VLM,259,137,戏文,,,,ɕi33vẽ33,,否,否,否,否,,shi33veen33,,否,否,否,否,,ok,syllables_json.final,ɕi33vẽ33,ɕi33vẽ33,0.9,,
仅VLM,259,137,照相,,,,tsɒ33ɕiaŋ33,,否,否,否,否,,tsau33shian33,,否,否,否,否,,ok,syllables_json.final,tsɒ33ɕiaŋ33,tsɒ33ɕiaŋ33,0.9,,
仅VLM,259,137,百子炮仗,,,,pa5ts35pɒ33dzaŋ52,,否,否,否,否,,pa5ts35pau33dzan52,,否,否,否,否,,ok,syllables_json.final,pa5tsɿ35pʰɒ33dzaŋ52,pa5ts35pɒ33dzaŋ52,0.9,,
仅VLM,259,137,的笃班,,,,tieʔ5toʔ5pæ̃52,,否,否,否,否,,tiq5toq5paen52,,否,否,否,否,,ok,syllables_json.final,tieʔ5toʔ5pæ̃52,tieʔ5toʔ5pæ̃52,0.9,,
仅VLM,259,137,目连戏,,,,moʔ23liẽ33ɕi33,,否,否,否,否,,moq23lien33shi33,,否,否,否,否,,ok,syllables_json.final,moʔ23liẽ33i33,moʔ23liẽ33ɕi33,0.9,,
仅VLM,259,137,绍兴[文]戏,,,,zɒ11ɕiŋ52vẽ11ɕi33,,否,否,否,否,,zau11shin52veen11shi33,,否,否,否,否,,ok,syllables_json.final,zɒ11ɕi52vẽ11ɕi33,zɒ11ɕiŋ52vẽ11ɕi33,0.9,,
仅VLM,259,137,绍兴大班,,,,zɒ11ɕiŋ52do11pæ̃11,,否,否,否,否,,zau11shin52do11paen11,,否,否,否,否,,ok,syllables_json.final,zɒ11ɕiŋ52do11pæ̃11,zɒ11ɕiŋ52do11pæ̃11,0.9,,
仅VLM,259,137,莲花落,,,,liẽ11ɦuo33loʔ34,,否,否,否,否,,lien11wo33loq34,,否,否,否,否,,ok,syllables_json.final,liẽ11ɦuo33loʔ34,liẽ11ɦuo33loʔ34,0.9,,
仅VLM,259,137,越剧,,,,ɦiəʔ5dʑieʔ5,,否,否,否,否,,yieoq5jiq5,,否,否,否,否,,ok,syllables_json.final,ɦiəʔ5dʑieʔ5,ɦiəʔ5dʑieʔ5,0.9,,
仅VLM,259,137,鹞,,,,ɦiɒ11,,否,否,否,否,,yau11,,否,否,否,否,,ok,syllables_json.final,ɦiɒ11,ɦiɔ11,0.9,,
仅VLM,259,137,鹦哥班,,,,aŋ33ko33pæ52,,否,否,否,否,,an33ko33p52,,否,否,否,否,,unknown_ipa:æ,syllables_json.final,aŋ33ko33pæ̃52,aŋ33ko33pæ52,0.9,,
仅OCR,259,,口连戏,17,259,口连戏,,moʔ23,否,否,否,否,,,moq23,否,否,否,否,,ok,,,,,,口连戏mo?平l忍归i裴绍剧的利'·内容为目连救母，多打鬼魅
仅OCR,259,,囡画,24,259,囡画,,du11ɦo55,否,否,否,否,,,du11gho55,否,否,否,否,,ok,,,,,,囡画duWfiuoll指画片。
仅OCR,259,,戏文矿,1,259,戏文矿,,vẽ52,否,否,否,否,,,veen52,否,否,否,否,,ok,,,,,,戏文矿v刮戏剧U
仅OCR,259,,指绍棹,16,259,指绍棹,,mi113,否,否,否,否,,,mi113,否,否,否,否,,ok,,,,,,大戏do11¥it{指绍棹l中个本的直台戏
仅OCR,259,,照,23,259,照,,tsɒ33ɕiaŋ33,否,否,否,否,,,tsau33shian33,否,否,否,否,,ok,,,,,,"照相tso3·1r;ia1J-',"
仅OCR,259,,的笃玑,12,259,的笃玑,,tieʔ3tsʰoʔ5pæ̃52,否,否,否,否,,,tiq3tshoq5paen52,否,否,否,否,,ok,,,,,,的笃玑tie?~5to怀p妇＂的切＇，沾脆的茂扛指剧中常轻出毅奻
仅OCR,259,,绍兴,8,259,绍兴,,zɒŋ115ɕiŋ55tsɿ52,否,否,否,否,,,zaon115shin55tsy52,否,否,否,否,,ok,,,,,,绍兴［文］戏zo11¥i1J行[v础］沁
仅OCR,259,,绍兴大廿,14,259,绍兴大廿,,za11ɕiŋ11do11pʰiẽ11,否,否,否,否,,,za11shin11do11phien11,否,否,否,否,,ok,,,,,,绍兴大廿Ezo飞i1J{Mo11p諒
仅OCR,259,,背,27,259,背,,tsɿ335pʰɒ55dzaŋ52,否,否,否,否,,,tsy335phau55dzan52,否,否,否,否,,ok,,,,,,百子炮仗pa背ts1~lsp11咄dzatJ扩鞭炮。
仅OCR,259,,莲花浴,7,259,莲花浴,,liẽ11huo55loʔ54,否,否,否,否,,,lien11huo55loq54,否,否,否,否,,ok,,,,,,莲花浴li砰hu咄lo?;~绍兴地区的种地力仙艺c
仅OCR,259,,行,9,259,行,,vẽ11ɕi55,否,否,否,否,,,veen11shi55,否,否,否,否,,ok,,,,,,绍兴［文］戏zo11¥i1J行[v础］沁
仅OCR,259,,裴绍剧的利,18,259,裴绍剧的利,,zɿ231,否,否,否,否,,,zy231,否,否,否,否,,ok,,,,,,口连戏mo?平l忍归i裴绍剧的利'·内容为目连救母，多打鬼魅
仅OCR,259,,鸥,25,259,鸥,,biɒ11,否,否,否,否,,,biau11,否,否,否,否,,ok,,,,,,鸥fii011指风筝。
仅OCR,259,,鹦哥卅,10,259,鹦哥卅,,aŋ33ko55pʰiẽ52,否,否,否,否,,,an33ko55phien52,否,否,否,否,,ok,,,,,,鹦哥卅a1J!ik忒p团
两边都有,260,138,口琴,44,260,口琴,kʰɤ335dʑiŋ52,kʰɤ335dʑiŋ55kʰɤ52,否,否,否,否,0.705882,kheu335jin52,kheu335jin55kheu52,否,否,否,否,0.666667,ok,syllables_json.final,kʰɤ335dʑiŋ52,kʰɤ335dʑiŋ52,0.99,,口琴kh'ls'335如1J铲
两边都有,260,138,叫比比,30,260,叫比比,tɕiɒ33pi33pi33,tsɿ335pi55piẽ52,否,否,否,否,0.4,ciau33pi33pi33,tsy335pi55pien52,否,否,否,否,0.3125,ok,syllables_json.final,tɕiɒ33pi33pi33,tɕiɔ33pi33pi33,0.99,,叫比比t~io33p烘pi罚
两边都有,260,138,号头,42,260,号头,ɦa11dʏ231,ɦa11dɤ11,否,否,否,否,0.666667,gha11d231,gha11deu11,否,否,否,否,,unknown_ipa:ʏ,syllables_json.final,ɦa11dʏ231,ɦa11dʏ231,0.99,,号头fia11d础
两边都有,260,138,喇叭,43,260,喇叭,la11pa55,la11pa55,是,是,是,否,1.0,la11pa55,la11pa55,是,是,是,否,1.0,ok,syllables_json.final,la11pa55,la11pa55,0.99,,喇叭la和pal~
两边都有,260,138,扑克牌,57,260,扑克牌,pʰoʔ3kʰeʔ3ba52,pʰoʔ3kʰeʔ5ba52,否,否,是,是,0.928571,phoq3kheq3ba52,phoq3kheq5ba52,否,否,是,是,0.928571,ok,syllables_json.final,pʰoʔ3kʰeʔ3ba52,pʰoʔ3kʰeʔ3ba52,0.99,,扑克牌phO符khe?;5ba铲
两边都有,260,138,斗鼓,35,260,斗鼓,tʏ335ku52,tɤ335ku52,否,是,否,否,0.888889,t335ku52,teu335ku52,否,否,否,否,,unknown_ipa:ʏ,syllables_json.final,tʏ335ku52,tʏ335ku52,0.99,,斗鼓h'335ku铲一种两面蒙皮的大鼓。
两边都有,260,138,毅鼓,36,260,毅鼓,toʔ3ku55,toʔ3ku55,是,是,是,否,1.0,toq3ku55,toq3ku55,是,是,是,否,1.0,ok,syllables_json.final,toʔ3ku55,toʔ3ku55,0.99,,毅鼓to怀kuW一种扁形小鼓，鼓皮下四周有硬木衬垫。鼓声浩
两边都有,260,138,洋箫,45,260,洋箫,ɦiaŋ11ɕiɒ52,liaŋ11ɕiɤ55,否,否,否,否,0.727273,yan11shiau52,lian11shieu55,否,否,否,否,0.692308,ok,syllables_json.final,ɦiaŋ11ɕiɒ52,ɦiaŋ11ɕiɔ52,0.99,,洋箫fiiaIJ启i泸旧词。
两边都有,260,138,牌九,55,260,牌九,ba11tɕiɤ335,ba11tɕiɤ55,否,否,是,是,0.818182,ba11cieu335,ba11cieu55,否,否,是,是,0.818182,ok,syllables_json.final,ba11tɕi335,ba11tɕiɤ335,0.99,,牌九ba和t1pi咄
两边都有,260,138,琵琶,34,260,琵琶,bi11bo52,bi11bo52,是,是,是,否,1.0,bi11bo52,bi11bo52,是,是,是,否,1.0,ok,syllables_json.final,bi11bo52,bi11bo52,0.99,,琵琶b谓bo铲
两边都有,260,138,目连号头,40,260,目连号头,moʔ23liẽ55ɦa55dʏ52,moʔ1liẽ55,否,否,否,否,0.444444,moq23lien55gha55d52,moq1lien55,否,否,否,否,,unknown_ipa:ʏ,syllables_json.final,moʔ23liẽ55ɦa55dʏ52,moʔ23liẽ55ɦa55dʏ52,0.99,,目连号头rno?~3lie和fi吐d讨一种长管的铜喇叭，常在鬼戏中鬼
两边都有,260,138,笛,32,260,笛,dieʔ23,dieʔ23,是,是,是,否,1.0,diq23,diq23,是,是,是,否,1.0,ok,syllables_json.final,dieʔ23,dieʔ23,0.99,,笛die俨梆笛。
两边都有,260,138,象棋,50,260,象棋,dʑiaŋ11di52,dʑiaŋ115dʑi52,否,否,否,否,0.846154,jian11di52,jian115ji52,否,否,否,否,0.818182,ok,syllables_json.final,dʑiaŋ11dʑi52,dʑiaŋ11di52,0.99,,象棋d加iaIJ盄d~谐
两边都有,260,138,骰子,56,260,骰子,dɤ231tsɿ335,dɤ11tsɿ55,否,否,是,是,0.636364,deu231tsy335,deu11tsy55,否,否,是,是,0.666667,ok,syllables_json.final,dɤ231tsɿ335,dɤ231tsɿ335,0.99,,骰子d砌ts儒色子。
仅VLM,260,138,二胡,,,,ȵi11ɦu231,,否,否,否,否,,gni11wu231,,否,否,否,否,,ok,syllables_json.final,i11ɦu231,ȵi11ɦu231,0.99,,
仅VLM,260,138,叫子,,,,tɕiɒ33tsɿ33,,否,否,否,否,,ciau33tsy33,,否,否,否,否,,ok,syllables_json.final,tɕiɒ33tsɿ33,tɕiɔ33tsɿ33,0.99,,
仅VLM,260,138,围棋,,,,ɦuE11di52,,否,否,否,否,,wue11di52,,否,否,否,否,,unknown_ipa:E,syllables_json.final,ɦuE11di52,ɦuE11di52,0.99,,
仅VLM,260,138,小提琴,,,,ɕiɒ335di525dʑiŋ52,,否,否,否,否,,shiau335di525jin52,,否,否,否,否,,ok,syllables_json.final,iɒ335di525dʑiŋ52,ɕiɔ335di525dʑiŋ52,0.99,,
仅VLM,260,138,梅花,,,,mE11huo52,,否,否,否,否,,me11huo52,,否,否,否,否,,unknown_ipa:E,syllables_json.final,mE11huo52,mE11huo52,0.99,,
仅VLM,260,138,梵*华*玲*,,,,væ15ɦuo55liŋ52,,否,否,否,否,,v15wo55lin52,,否,否,否,否,,unknown_ipa:æ,syllables_json.final,væ15ɦuo55liŋ52,væ15ɦuo55liŋ52,0.99,,
仅VLM,260,138,箫,,,,ɕi52,,否,否,否,否,,shi52,,否,否,否,否,,ok,syllables_json.final,ɕiɒ52,ɕi52,0.99,,
仅VLM,260,138,糊脸子,,,,ɦu11liẽ13tsɿ335ɦu11liẽ13tseʔ5,,否,否,否,否,,wu11lien13tsy335wu11lien13tseq5,,否,否,否,否,,ok,syllables_json.final,"ɦu11liẽ13tsɿ335,ɦu11liẽ13tseʔ5",ɦu11liẽ13tsɿ335ɦu11liẽ13tseʔ5,0.99,,
仅VLM,260,138,锴板,,,,tsaʔ3pæ55,,否,否,否,否,,tsaq3p55,,否,否,否,否,,unknown_ipa:æ,syllables_json.final,tsaʔ3pæ55,tsaʔ3pæ55,0.99,,
仅VLM,260,138,麻将*,,,,mo11tɕiaŋ55,,否,否,否,否,,mo11cian55,,否,否,否,否,,ok,syllables_json.final,mo11tɕiaŋ55,mo11tɕiaŋ55,0.99,,
仅VLM,260,138,鼓,,,,ku335,,否,否,否,否,,ku335,,否,否,否,否,,ok,syllables_json.final,ku335,ku335,0.99,,
仅OCR,260,,一词,33,260,一词,,ȵi11ɦu11,否,否,否,否,,,gni11wu11,否,否,否,否,,ok,,,,,,"一词jO,i11fiU杻"
仅OCR,260,,叫了,29,260,叫了,,tɕiɒ33tsɿ33,否,否,否,否,,,ciau33tsy33,否,否,否,否,,ok,,,,,,叫了t仰io33ts1铲哨子C
仅OCR,260,,吓,54,260,吓,,iaʔ45,否,否,否,否,,,iaq45,否,否,否,否,,ok,,,,,,"麻将mo和t1pia1Jss""将.,,为＂雀＂旧音t吓ia?4s的音变，＂雀“有-1)"
仅OCR,260,,和,41,260,和,,ɦa11dɤ52,否,否,否,否,,,gha11deu52,否,否,否,否,,ok,,,,,,目连号头rno?~3lie和fi吐d讨一种长管的铜喇叭，常在鬼戏中鬼
仅OCR,260,,四擂,46,260,四擂,,dʑiŋ52,否,否,否,否,,,jin52,否,否,否,否,,ok,,,,,,小捉琴~io四擂d~iIJ铲
仅OCR,260,,将,53,260,将,,kʰẽ33,否,否,否,否,,,kheen33,否,否,否,否,,ok,,,,,,"麻将mo和t1pia1Jss""将.,,为＂雀＂旧音t吓ia?4s的音变，＂雀“有-1)"
仅OCR,260,,才旨,39,260,才旨,,ɕiɤ335,否,否,否,否,,,shieu335,否,否,否,否,,ok,,,,,,朴}才．rru三汗huo52才旨11贞RI内。
仅OCR,260,,朴才,38,260,朴才,,mᴇ11huo52,否,否,否,否,,,me11huo52,否,否,否,否,,ok,,,,,,朴}才．rru三汗huo52才旨11贞RI内。
仅OCR,260,,梵华贷,47,260,梵华贷,,væ̃231,否,否,否,否,,,vaen231,否,否,否,否,,ok,,,,,,梵华贷v元郘uo铲litj扩旧词。英语violin的音译。
仅OCR,260,,沿,31,260,沿,,ɕiɒ52,否,否,否,否,,,shiau52,否,否,否,否,,ok,,,,,,沿yi052(1)直诩。(2)仙笛。
仅OCR,260,,英语,49,260,英语,,biɒ115tsɿ52,否,否,否,否,,,biau115tsy52,否,否,否,否,,ok,,,,,,梵华贷v元郘uo铲litj扩旧词。英语violin的音译。
仅OCR,260,,躇板,37,260,躇板,,tsɿ33pæ̃55,否,否,否,否,,,tsy33paen55,否,否,否,否,,ok,,,,,,躇板tsa?15p元炉呱哈板。
仅OCR,260,,铲,48,260,铲,,liŋ52,否,否,否,否,,,lin52,否,否,否,否,,ok,,,,,,梵华贷v元郘uo铲litj扩旧词。英语violin的音译。
仅OCR,260,,闱棋,51,260,闱棋,,ɦy231,否,否,否,否,,,yu231,否,否,否,否,,ok,,,,,,闱棋fiu础d~i智
仅OCR,260,,麻将,52,260,麻将,,mo11tɕiaŋ55,否,否,否,否,,,mo11cian55,否,否,否,否,,ok,,,,,,"麻将mo和t1pia1Jss""将.,,为＂雀＂旧音t吓ia?4s的音变，＂雀“有-1)"
两边都有,261,139,东西,74,261,东西,toŋ33ȵi52,toŋ33ɕi52,否,是,否,否,0.888889,ton33gni52,ton33shi52,否,是,否,否,0.8,ok,syllables_json.final,toŋ33ȵi52,toŋ33ȵi52,0.95,,东西tOI)~沁i~2
两边都有,261,139,乒乓球,64,261,乒乓球,pʰiŋ33pʰaŋ55dʑiɤ52,pɒŋ33pʰaʔ5,否,否,否,否,0.444444,phin33phan55jieu52,paon33phaq5,否,否,否,否,0.444444,ok,syllables_json.final,pʰiŋ33pʰaŋ55dʑiɤ52,pʰiŋ33pʰaŋ55dʑiɤ52,0.95,,乒乓球p11il)i~p11a祁di战
两边都有,261,139,体操,71,261,体操,ti335tsʰɒ52,tʰi335tsʰɒ52,否,是,否,否,0.916667,ti335tshau52,thi335tshau52,否,是,否,否,0.923077,ok,syllables_json.final,tʰi335tsʰɒ52,ti335tsʰɔ52,0.95,,体操th严tshos2
两边都有,261,139,名字,76,261,名字,miŋ11ʑi55,mẽ115zɿ52,否,否,否,否,0.333333,min11zhi55,meen115zy52,否,否,否,否,0.454545,ok,syllables_json.final,miŋ11ʑi55,miŋ11ʑi55,0.95,,名字m咄叶：
两边都有,261,139,命,80,261,命,miŋ11,mẽ115,否,否,否,否,0.4,min11,meen115,否,否,否,否,0.571429,ok,syllables_json.final,miŋ11,miŋ11,0.95,,命mtl)11(1)性命(2)命运＾
两边都有,261,139,性命,79,261,性命,ɕiŋ33miŋ33,ɕiŋ33mẽ33,否,是,否,否,0.8,shin33min33,shin33meen33,否,是,否,否,0.833333,ok,syllables_json.final,ɕiŋ33mi33,ɕiŋ33miŋ33,0.95,,性命Ci-')Jlffiil)且
两边都有,261,139,手气,83,261,手气,sɤ335tɕʰi52,sɤ335tɕʰi52,是,是,是,否,1.0,seu335chi52,seu335chi52,是,是,是,否,1.0,ok,syllables_json.final,sɤ335tʰi52,sɤ335tɕʰi52,0.95,,手气S'C35tG啸贴搏时的运气
两边都有,261,139,排球,67,261,排球,ba11dʑiɤ52,ba11dʑiɤ55,否,否,是,是,0.9,ba11jieu52,ba11jieu55,否,否,是,是,0.9,ok,syllables_json.final,ba11dʑiɤ52,ba11dʑiɤ52,0.95,,排球ba汗dzi砌
两边都有,261,139,气数,84,261,气数,tɕʰi33su33,tɕʰi33su33,是,是,是,否,1.0,chi33su33,chi33su33,是,是,是,否,1.0,ok,syllables_json.final,tɕʰi33su33,tɕʰi33su33,0.95,,气数t砂insu33命运。
两边都有,261,139,球,62,261,球,dʑiɤ231,dʑiɤ231,是,是,是,否,1.0,jieu231,jieu231,是,是,是,否,1.0,ok,syllables_json.final,dʑiɤ231,dʑiɤ231,0.95,,球dii¥131
两边都有,261,139,用场,78,261,用场,ɦioŋ11dzaŋ11,ɦoŋ11dzaŋ11,否,是,否,否,0.916667,yon11dzan11,ghon11dzan11,否,是,否,否,0.833333,ok,syllables_json.final,ɦioŋ11dzaŋ11,ɦioŋ11dzaŋ11,0.95,,用场和OJJ11dza1J杻
两边都有,261,139,皮球,63,261,皮球,bi11dʑiɤ52,bi11dʑiɤ52,是,是,是,否,1.0,bi11jieu52,bi11jieu52,是,是,是,否,1.0,ok,syllables_json.final,bi11dʑiɤ52,bi11dʑiɤ52,0.95,,皮球bi铲d~i讨
两边都有,261,139,篮球,66,261,篮球,læ11diɤ52,læ̃11dʑiɤ55,否,否,否,否,0.727273,l11dieu52,laen11jieu55,否,否,否,否,,unknown_ipa:æ,syllables_json.final,læ11dʑiɤ52,læ11diɤ52,0.95,,篮球l志汗dii¥芍
两边都有,261,139,网球,69,261,网球,m̍15dʑiɤ52,baŋ115dʑiẽ52,否,否,否,否,0.583333,m15jieu52,ban115jien52,否,否,否,否,,unknown_ipa:̍,syllables_json.final,mŋ15dʑiɤ52,m̍15dʑiɤ52,0.95,,网球mOJJ监加忒
两边都有,261,139,足球,68,261,足球,tsoʔ3dʑiɤ52,tsoʔ3dʑiẽ55,否,否,否,否,0.818182,tsoq3jieu52,tsoq3jien55,否,否,否,否,0.818182,ok,syllables_json.final,tsoʔ3dʑi52,tso?3dʑiɤ52,0.95,,足球tso?15dii咄
两边都有,261,139,题目,77,261,题目,di11moʔ5,di11moʔ5,是,是,是,否,1.0,di11moq5,di11moq5,是,是,是,否,1.0,ok,syllables_json.final,di11moʔ5,di11mo?5,0.95,,题目di铲mon1
仅VLM,261,139,事体,,,,ʑi11tʰi55,,否,否,否,否,,zhi11thi55,,否,否,否,否,,ok,syllables_json.final,ʑi11tʰi55,ʑi11tʰi55,0.95,,
仅VLM,261,139,体育场,,,,tʰi335ɦioʔ5dzaŋ52,,否,否,否,否,,thi335yoq5dzan52,,否,否,否,否,,ok,syllables_json.final,tʰi335ɦioʔ5dzaŋ52,tʰi335ɦio?5dzaŋ52,0.95,,
仅VLM,261,139,劳什,,,,lo11zəʔ5,,否,否,否,否,,lo11zeoq5,,否,否,否,否,,ok,syllables_json.final,lo11zəʔ5,lo11zə?5,0.95,,
仅VLM,261,139,嬉家生,,,,ȵi33ko55saŋ52,,否,否,否,否,,gni33ko55san52,,否,否,否,否,,ok,syllables_json.final,ȵi33ko55saŋ52,ȵi33ko55saŋ52,0.95,,
仅VLM,261,139,摇骨*东*,,,,ɦio11kueʔ5ton55,,否,否,否,否,,yo11kueq5ton55,,否,否,否,否,,ok,syllables_json.final,ɦio11kueʔ5ton55,ɦio11kue?5ton55,0.95,,
仅VLM,261,139,用处,,,,ɦioŋ11tɕʰy11,,否,否,否,否,,yon11chiu11,,否,否,否,否,,ok,syllables_json.final,ɦioŋ11tɕʰy11,ɦioŋ11tɕʰy11,0.95,,
仅VLM,261,139,秋千,,,,tɕʰiɤ33tɕʰiẽ52,,否,否,否,否,,chieu33chien52,,否,否,否,否,,ok,syllables_json.final,tɕʰiɤ33tɕʰiẽ52,tɕʰiɤ33tɕʰiẽ52,0.95,,
仅VLM,261,139,贱骆驼,,,,ʑiẽ11loʔ11do11,,否,否,否,否,,zhien11loq11do11,,否,否,否,否,,ok,syllables_json.final,ʑiẽ11loʔ11do11,ʑiẽ11lo?11do11,0.95,,
仅VLM,261,139,运动场,,,,ɦiõ11doŋ11dza11,,否,否,否,否,,yi11don11dza11,,否,否,否,否,,unknown_ipa:õ,syllables_json.final,ɦiõ11doŋ11dzaŋ11,ɦiõ11doŋ11dza11,0.95,,
仅VLM,261,139,运气,,,,ɦiõ11tɕʰi11,,否,否,否,否,,yi11chi11,,否,否,否,否,,unknown_ipa:õ,syllables_json.final,ɦiõ11tɕʰi11,ɦiõ11tɕʰi11,0.95,,
仅VLM,261,139,运道,,,,ɦiõ11dɒ55,,否,否,否,否,,yi11dau55,,否,否,否,否,,unknown_ipa:õ,syllables_json.final,ɦiõ11dɒ55,ɦiõ11dɔ55,0.95,,
仅OCR,261,,休育场,72,261,休育场,,tʰi335ɦiøʔ54,否,否,否,否,,,thi335yoeq54,否,否,否,否,,ok,,,,,,休育场thj33$fiio宵dzaJJ矿
仅OCR,261,,女忱如,58,261,女忱如,,ɕi33koʔ5,否,否,否,否,,,shi33koq5,否,否,否,否,,ok,,,,,,女忱如I::础ko~知sa1)52玩H
仅OCR,261,,宵,73,261,宵,,dzaŋ231,否,否,否,否,,,dzan231,否,否,否,否,,ok,,,,,,休育场thj33$fiio宵dzaJJ矿
仅OCR,261,,性命,81,261,性命,,sɤ335,否,否,否,否,,,seu335,否,否,否,否,,ok,,,,,,命mtl)11(1)性命(2)命运＾
仅OCR,261,,括干忏东,60,261,括干忏东,,huo33kueʔ5,否,否,否,否,,,huo33kueq5,否,否,否,否,,ok,,,,,,括干忏东·fiio和kue'汴tot)~;拨浪鼓
仅OCR,261,,昭,75,261,昭,,lɒ11zəʔ5,否,否,否,否,,,lau11zeoq5,否,否,否,否,,ok,,,,,,昭I·lo铲z~宵
仅OCR,261,,汴,61,261,汴,,toŋ52,否,否,否,否,,,ton52,否,否,否,否,,ok,,,,,,括干忏东·fiio和kue'汴tot)~;拨浪鼓
