sample_id	image	label	page	row_index	syllable_index	source_split	quality	tone_position	tone_policy	wupin_base	ipa_base	selected_tone	upper_tone	lower_tone
p123_0014_s02	images/p123_0014_s02.png	0	123	14	2	train	matched	no_detected_tone_digits	visual_segment_single_tone__lower_null	shin	ɕiŋ	52	52	
p123_0015_s00	images/p123_0015_s00.png	0	123	15	0	train	matched	upper_only	visual_segment_single_tone__lower_null	faon	fɒŋ	335	335	
p123_0015_s01	images/p123_0015_s01.png	0	123	15	1	train	matched	upper_only	visual_segment_single_tone__lower_null	so	sɒ	55	55	
p123_0015_s02	images/p123_0015_s02.png	0	123	15	2	train	matched	upper_only	visual_segment_single_tone__lower_null	shin	ɕiŋ	52	52	
p123_0016_s00	images/p123_0016_s00.png	0	123	16	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	chiq	tɕʰiʔ	3	3	
p123_0016_s01	images/p123_0016_s01.png	1	123	16	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	tshoq	tsʰoʔ	5		5
p123_0016_s02	images/p123_0016_s02.png	1	123	16	2	train	matched	both_upper_lower	visual_segment_selected_as_lower	shin	ɕiŋ	52		52
p123_0018_s00	images/p123_0018_s00.png	0	123	18	0	train	weak_match	both_upper_lower	visual_segment_single_tone__lower_null	zo	zɒ	11	11	
p123_0018_s01	images/p123_0018_s01.png	1	123	18	1	train	weak_match	both_upper_lower	visual_segment_selected_as_lower	shin	ɕiŋ	11		11
p123_0019_s00	images/p123_0019_s00.png	0	123	19	0	train	matched	upper_only	visual_segment_single_tone__lower_null	thien	tʰiẽ	33	33	
p123_0019_s01	images/p123_0019_s01.png	0	123	19	1	train	matched	upper_only	visual_segment_single_tone__lower_null	gho	ɦɒ	52	52	
p123_0020_s00	images/p123_0020_s00.png	0	123	20	0	train	matched	upper_only	visual_segment_single_tone__lower_null	fon	foŋ	52	52	
p123_0021_s00	images/p123_0021_s00.png	0	123	21	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	do	dɒ	11	11	
p123_0021_s01	images/p123_0021_s01.png	1	123	21	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	fon	foŋ	11		11
p123_0022_s00	images/p123_0022_s00.png	0	123	22	0	train	matched	upper_only	visual_segment_single_tone__lower_null	pau	pɤ	33	33	
p123_0022_s01	images/p123_0022_s01.png	0	123	22	1	train	matched	upper_only	visual_segment_single_tone__lower_null	fon	foŋ	33	33	
p123_0023_s00	images/p123_0023_s00.png	0	123	23	0	train	matched	upper_only	visual_segment_single_tone__lower_null	fon	foŋ	33	33	
p123_0023_s01	images/p123_0023_s01.png	0	123	23	1	train	matched	upper_only	visual_segment_single_tone__lower_null	pau	pɤ	55	55	
p123_0024_s00	images/p123_0024_s00.png	0	123	24	0	train	matched	upper_only	visual_segment_single_tone__lower_null	de	dᴇ	11	11	
p123_0024_s01	images/p123_0024_s01.png	0	123	24	1	train	matched	upper_only	visual_segment_single_tone__lower_null	fon	foŋ	52	52	
p123_0025_s00	images/p123_0025_s00.png	1	123	25	0	train	matched	both_upper_lower	visual_segment_selected_as_lower	u	u	33		33
p123_0025_s01	images/p123_0025_s01.png	1	123	25	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	fon	foŋ	55		55
p123_0025_s02	images/p123_0025_s02.png	0	123	25	2	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	man	maŋ	55	55	
p123_0025_s03	images/p123_0025_s03.png	0	123	25	3	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	pau	pɤ	52	52	
p124_0000_s00	images/p124_0000_s00.png	1	124	0	0	train	weak_match	both_upper_lower	visual_segment_selected_as_lower	lon	loŋ	11		11
p124_0000_s01	images/p124_0000_s01.png	1	124	0	1	train	weak_match	both_upper_lower	visual_segment_selected_as_lower	fon	foŋ	52		52
p124_0001_s00	images/p124_0001_s00.png	0	124	1	0	train	matched	lower_only	visual_segment_single_tone__lower_null	ciu	tɕy	335	335	
p124_0001_s01	images/p124_0001_s01.png	0	124	1	1	train	matched	lower_only	visual_segment_single_tone__lower_null	tseq	tsᴇʔ	5	5	
p124_0001_s02	images/p124_0001_s02.png	0	124	1	2	train	matched	lower_only	visual_segment_single_tone__lower_null	deu	də	55	55	
p124_0001_s03	images/p124_0001_s03.png	1	124	1	3	train	matched	lower_only	visual_segment_selected_as_lower	fon	foŋ	52		52
p124_0002_s00	images/p124_0002_s00.png	0	124	2	0	train	matched	lower_only	visual_segment_single_tone__lower_null	zeen	zẽ	11	11	
p124_0002_s01	images/p124_0002_s01.png	1	124	2	1	train	matched	lower_only	visual_segment_selected_as_lower	fon	foŋ	11		11
p124_0003_s00	images/p124_0003_s00.png	0	124	3	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	tin	tiŋ	335	335	
p124_0003_s01	images/p124_0003_s01.png	1	124	3	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	deu	də	55		55
p124_0003_s02	images/p124_0003_s02.png	0	124	3	2	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	fon	foŋ	52	52	
p124_0004_s00	images/p124_0004_s00.png	0	124	4	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	teu	tə	335	335	
p124_0004_s01	images/p124_0004_s01.png	1	124	4	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	fon	foŋ	52		52
p124_0005_s00	images/p124_0005_s00.png	0	124	5	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	teu	tə	335	335	
p124_0005_s01	images/p124_0005_s01.png	1	124	5	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	deu	də	55		55
p124_0005_s02	images/p124_0005_s02.png	0	124	5	2	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	fon	foŋ	52	52	
p124_0006_s00	images/p124_0006_s00.png	0	124	6	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	tsheen	tsʰẽ	33	33	
p124_0006_s01	images/p124_0006_s01.png	1	124	6	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	daon	dɒŋ	55		55
p124_0006_s02	images/p124_0006_s02.png	1	124	6	2	train	matched	both_upper_lower	visual_segment_selected_as_lower	fon	foŋ	52		52
p124_0007_s00	images/p124_0007_s00.png	0	124	7	0	train	matched	upper_only	visual_segment_single_tone__lower_null	yoen	ɦiø̃	231	231	
p124_0008_s00	images/p124_0008_s00.png	1	124	8	0	train	weak_match	both_upper_lower	visual_segment_selected_as_lower	yoen	ɦiø̃	11		11
p124_0008_s01	images/p124_0008_s01.png	1	124	8	1	train	weak_match	both_upper_lower	visual_segment_selected_as_lower	deu	də	52		52
p124_0009_s00	images/p124_0009_s00.png	0	124	9	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	u	u	33	33	
p124_0009_s01	images/p124_0009_s01.png	1	124	9	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	yoen	ɦiø̃	52		52
p124_0011_s00	images/p124_0011_s00.png	1	124	11	0	train	matched	both_upper_lower	visual_segment_selected_as_lower	ngo	ŋɒ	115		115
p124_0011_s01	images/p124_0011_s01.png	1	124	11	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	baen	bæ̃	55		55
p124_0011_s02	images/p124_0011_s02.png	1	124	11	2	train	matched	both_upper_lower	visual_segment_selected_as_lower	yoen	ɦiø̃	52		52
p124_0012_s00	images/p124_0012_s00.png	0	124	12	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	hu	hu	335	335	
p124_0012_s01	images/p124_0012_s01.png	0	124	12	1	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	sau	sɤ	55	55	
p124_0012_s02	images/p124_0012_s02.png	1	124	12	2	train	matched	both_upper_lower	visual_segment_selected_as_lower	yoen	ɦiø̃	52		52
p124_0013_s00	images/p124_0013_s00.png	0	124	13	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	do	dɒ	11	11	
p124_0013_s01	images/p124_0013_s01.png	1	124	13	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	le	lᴇ	11		11
p124_0014_s00	images/p124_0014_s00.png	0	124	14	0	train	matched	lower_only	visual_segment_single_tone__lower_null	do	dɒ	11	11	
p124_0014_s01	images/p124_0014_s01.png	0	124	14	1	train	matched	lower_only	visual_segment_single_tone__lower_null	lo	lɒ	11	11	
p124_0014_s02	images/p124_0014_s02.png	1	124	14	2	train	matched	lower_only	visual_segment_selected_as_lower	kuon	kuoŋ	11		11
p124_0014_s03	images/p124_0014_s03.png	0	124	14	3	train	matched	lower_only	visual_segment_single_tone__lower_null	kuon	kuoŋ	11	11	
p124_0015_s00	images/p124_0015_s00.png	0	124	15	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	phiq	pʰiʔ	3	3	
p124_0015_s01	images/p124_0015_s01.png	1	124	15	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	liq	liʔ	5		5
p124_0015_s02	images/p124_0015_s02.png	0	124	15	2	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	le	lᴇ	52	52	
p124_0016_s00	images/p124_0016_s00.png	1	124	16	0	train	weak_match	both_upper_lower	visual_segment_selected_as_lower	dzeen	dzẽ	11		11
p124_0016_s01	images/p124_0016_s01.png	1	124	16	1	train	weak_match	both_upper_lower	visual_segment_selected_as_lower	le	lᴇ	11		11
p124_0017_s00	images/p124_0017_s00.png	0	124	17	0	train	weak_match	both_upper_lower	visual_segment_single_tone__lower_null	shian	ɕiaŋ	335	335	
p124_0017_s01	images/p124_0017_s01.png	1	124	17	1	train	weak_match	both_upper_lower	visual_segment_selected_as_lower	le	lᴇ	52		52
p124_0018_s00	images/p124_0018_s00.png	0	124	18	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	huoq	huoʔ	3	3	
p124_0018_s01	images/p124_0018_s01.png	1	124	18	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	seen	sẽ	55		55
p124_0019_s00	images/p124_0019_s00.png	0	124	19	0	train	matched	lower_only	visual_segment_single_tone__lower_null	huoq	huoʔ	3	3	
p124_0019_s01	images/p124_0019_s01.png	0	124	19	1	train	matched	lower_only	visual_segment_single_tone__lower_null	seen	sẽ	55	55	
p124_0019_s02	images/p124_0019_s02.png	0	124	19	2	train	matched	lower_only	visual_segment_single_tone__lower_null	gnian	ȵiaŋ	55	55	
p124_0019_s03	images/p124_0019_s03.png	1	124	19	3	train	matched	lower_only	visual_segment_selected_as_lower	gnian	ȵiaŋ	52		52
p124_0021_s00	images/p124_0021_s00.png	0	124	21	0	train	matched	upper_only	visual_segment_single_tone__lower_null	yu	ɦy	113	113	
p124_0022_s00	images/p124_0022_s00.png	0	124	22	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	do	dɒ	11	11	
p124_0022_s01	images/p124_0022_s01.png	1	124	22	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	yu	ɦy	11		11
p124_0023_s00	images/p124_0023_s00.png	0	124	23	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	nge	ŋᴇ	11	11	
p124_0023_s01	images/p124_0023_s01.png	1	124	23	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	do	dɒ	55		55
p124_0023_s02	images/p124_0023_s02.png	1	124	23	2	train	matched	both_upper_lower	visual_segment_selected_as_lower	yu	ɦy	52		52
p124_0024_s00	images/p124_0024_s00.png	1	124	24	0	train	matched	both_upper_lower	visual_segment_selected_as_lower	dzeen	dzẽ	11		11
p124_0024_s01	images/p124_0024_s01.png	1	124	24	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	deu	də	11		11
p124_0025_s00	images/p124_0025_s00.png	0	124	25	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	keen	kẽ	335	335	
p124_0025_s01	images/p124_0025_s01.png	0	124	25	1	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	keu	kə	55	55	
p124_0025_s02	images/p124_0025_s02.png	1	124	25	2	train	matched	both_upper_lower	visual_segment_selected_as_lower	dzeen	dzẽ	52		52
p125_0000_s00	images/p125_0000_s00.png	1	125	0	0	train	matched	both_upper_lower	visual_segment_selected_as_lower	mau	mɤ	11		11
p125_0000_s01	images/p125_0000_s01.png	1	125	0	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	sau	sɤ	55		55
p125_0000_s02	images/p125_0000_s02.png	1	125	0	2	train	matched	both_upper_lower	visual_segment_selected_as_lower	yu	ɦy	52		52
p125_0001_s00	images/p125_0001_s00.png	1	125	1	0	train	matched	both_upper_lower	visual_segment_selected_as_lower	mo	mɒ	11		11
p125_0001_s01	images/p125_0001_s01.png	1	125	1	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	se	sᴇ	55		55
p125_0001_s02	images/p125_0001_s02.png	1	125	1	2	train	matched	both_upper_lower	visual_segment_selected_as_lower	yu	ɦy	52		52
p125_0002_s00	images/p125_0002_s00.png	1	125	2	0	train	matched	both_upper_lower	visual_segment_selected_as_lower	yu	ɦy	115		115
p125_0002_s01	images/p125_0002_s01.png	1	125	2	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	mau	mɤ	55		55
p125_0002_s02	images/p125_0002_s02.png	0	125	2	2	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	sy	sɿ	52	52	
p125_0003_s00	images/p125_0003_s00.png	1	125	3	0	train	matched	both_upper_lower	visual_segment_selected_as_lower	yu	ɦy	115		115
p125_0003_s01	images/p125_0003_s01.png	1	125	3	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	tien	tiẽ	52		52
p125_0004_s00	images/p125_0004_s00.png	1	125	4	0	train	weak_match	both_upper_lower	visual_segment_selected_as_lower	yu	ɦy	115		115
p125_0004_s01	images/p125_0004_s01.png	1	125	4	1	train	weak_match	both_upper_lower	visual_segment_selected_as_lower	ciaq	tɕiaʔ	54		54
p125_0005_s00	images/p125_0005_s00.png	0	125	5	0	train	low_match	upper_only	visual_segment_single_tone__lower_null	wu	ɦu	11	11	
p125_0005_s01	images/p125_0005_s01.png	0	125	5	1	train	low_match	upper_only	visual_segment_single_tone__lower_null	lu	lu	11	11	
p125_0006_s00	images/p125_0006_s00.png	0	125	6	0	train	weak_match	both_upper_lower	visual_segment_single_tone__lower_null	wu	ɦu	11	11	
p125_0006_s01	images/p125_0006_s01.png	1	125	6	1	train	weak_match	both_upper_lower	visual_segment_selected_as_lower	chi	tɕʰi	11		11
p125_0007_s00	images/p125_0007_s00.png	0	125	7	0	train	weak_match	both_upper_lower	visual_segment_single_tone__lower_null	lu	lu	11	11	
p125_0007_s01	images/p125_0007_s01.png	1	125	7	1	train	weak_match	both_upper_lower	visual_segment_selected_as_lower	sy	sɿ	11		11
p125_0008_s00	images/p125_0008_s00.png	0	125	8	0	train	low_match	upper_only	visual_segment_single_tone__lower_null	saon	sɒŋ	52	52	
p125_0009_s00	images/p125_0009_s00.png	0	125	9	0	train	matched	upper_only	visual_segment_single_tone__lower_null	pin	piŋ	52	52	
p125_0010_s00	images/p125_0010_s00.png	0	125	10	0	train	matched	upper_only	visual_segment_single_tone__lower_null	ha	ha	335	335	
p125_0010_s01	images/p125_0010_s01.png	0	125	10	1	train	matched	upper_only	visual_segment_single_tone__lower_null	khoq	kʰoʔ	5	5	
p125_0010_s02	images/p125_0010_s02.png	0	125	10	2	train	matched	upper_only	visual_segment_single_tone__lower_null	pin	piŋ	52	52	
p125_0011_s00	images/p125_0011_s00.png	0	125	11	0	train	matched	upper_only	visual_segment_single_tone__lower_null	tshon	tsʰoŋ	33	33	
p125_0011_s01	images/p125_0011_s01.png	0	125	11	1	train	matched	upper_only	visual_segment_single_tone__lower_null	kuoen	kuø̃	55	55	
p125_0011_s02	images/p125_0011_s02.png	0	125	11	2	train	matched	upper_only	visual_segment_single_tone__lower_null	daon	dɒŋ	52	52	
p125_0012_s00	images/p125_0012_s00.png	0	125	12	0	train	low_match	upper_only	visual_segment_single_tone__lower_null	shiq	ɕiʔ	45	45	
p125_0013_s00	images/p125_0013_s00.png	1	125	13	0	train	matched	both_upper_lower	visual_segment_selected_as_lower	shiq	ɕiʔ	3		3
p125_0013_s01	images/p125_0013_s01.png	1	125	13	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	tsy	tsɿ	55		55
p125_0016_s00	images/p125_0016_s00.png	0	125	16	0	train	matched	upper_only	visual_segment_single_tone__lower_null	pin	piŋ	33	33	
p125_0016_s01	images/p125_0016_s01.png	0	125	16	1	train	matched	upper_only	visual_segment_single_tone__lower_null	boq	boʔ	5	5	
p125_0017_s00	images/p125_0017_s00.png	1	125	17	0	train	matched	both_upper_lower	visual_segment_selected_as_lower	thien	tʰiẽ	33		33
p125_0017_s01	images/p125_0017_s01.png	1	125	17	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	ko	kɒ	52		52
p125_0018_s00	images/p125_0018_s00.png	0	125	18	0	train	matched	upper_only	visual_segment_single_tone__lower_null	jin	dʑiŋ	11	11	
p125_0018_s01	images/p125_0018_s01.png	0	125	18	1	train	matched	upper_only	visual_segment_single_tone__lower_null	thien	tʰiẽ	52	52	
p125_0019_s00	images/p125_0019_s00.png	0	125	19	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	ciau	tɕiɤ	33	33	
p125_0019_s01	images/p125_0019_s01.png	1	125	19	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	tsy	tsɿ	55		55
p125_0019_s02	images/p125_0019_s02.png	1	125	19	2	train	matched	both_upper_lower	visual_segment_selected_as_lower	jin	dʑiŋ	55		55
p125_0019_s03	images/p125_0019_s03.png	0	125	19	3	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	thien	tʰiẽ	52	52	
p125_0020_s00	images/p125_0020_s00.png	0	125	20	0	train	matched	upper_only	visual_segment_single_tone__lower_null	in	iŋ	33	33	
p125_0020_s01	images/p125_0020_s01.png	0	125	20	1	train	matched	upper_only	visual_segment_single_tone__lower_null	thien	tʰiẽ	52	52	
p125_0022_s00	images/p125_0022_s00.png	0	125	22	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	loq	loʔ	1	1	
p125_0022_s01	images/p125_0022_s01.png	1	125	22	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	yu	ɦy	55		55
p125_0022_s02	images/p125_0022_s02.png	1	125	22	2	train	matched	both_upper_lower	visual_segment_selected_as_lower	thien	tʰiẽ	52		52
p125_0023_s00	images/p125_0023_s00.png	1	125	23	0	train	matched	both_upper_lower	visual_segment_selected_as_lower	me	mᴇ	11		11
p125_0023_s01	images/p125_0023_s01.png	1	125	23	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	yu	ɦy	55		55
p125_0024_s00	images/p125_0024_s00.png	0	125	24	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	yan	ɦaŋ	115	115	
p125_0024_s01	images/p125_0024_s01.png	1	125	24	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	huo	huɒ	55		55
p125_0024_s02	images/p125_0024_s02.png	1	125	24	2	train	matched	both_upper_lower	visual_segment_selected_as_lower	thien	tʰiẽ	52		52
p125_0025_s00	images/p125_0025_s00.png	0	125	25	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	waon	ɦɒŋ	11	11	
p125_0025_s01	images/p125_0025_s01.png	0	125	25	1	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	me	mᴇ	55	55	
p125_0025_s02	images/p125_0025_s02.png	1	125	25	2	train	matched	both_upper_lower	visual_segment_selected_as_lower	thien	tʰiẽ	52		52
p125_0026_s00	images/p125_0026_s00.png	0	125	26	0	train	weak_match	both_upper_lower	visual_segment_single_tone__lower_null	me	mᴇ	11	11	
p125_0026_s01	images/p125_0026_s01.png	1	125	26	1	train	weak_match	both_upper_lower	visual_segment_selected_as_lower	thien	tʰiẽ	52		52
p125_0027_s00	images/p125_0027_s00.png	0	125	27	0	train	matched	upper_only	visual_segment_single_tone__lower_null	wu	ɦu	11	11	
p125_0027_s01	images/p125_0027_s01.png	0	125	27	1	train	matched	upper_only	visual_segment_single_tone__lower_null	thien	tʰiẽ	11	11	
p126_0003_s00	images/p126_0003_s00.png	1	126	3	0	train	matched	both_upper_lower	visual_segment_selected_as_lower	dzau	dzɤ	11		11
p126_0003_s01	images/p126_0003_s01.png	1	126	3	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	saeq	sæʔ	5		5
p126_0003_s02	images/p126_0003_s02.png	1	126	3	2	train	matched	both_upper_lower	visual_segment_selected_as_lower	thien	tʰiẽ	52		52
p126_0005_s00	images/p126_0005_s00.png	0	126	5	0	train	matched	upper_only	visual_segment_single_tone__lower_null	chieu	tɕʰiə	33	33	
p126_0005_s01	images/p126_0005_s01.png	0	126	5	1	train	matched	upper_only	visual_segment_single_tone__lower_null	la	la	55	55	
p126_0005_s02	images/p126_0005_s02.png	0	126	5	2	train	matched	upper_only	visual_segment_single_tone__lower_null	za	za	52	52	
p126_0006_s00	images/p126_0006_s00.png	1	126	6	0	train	matched	both_upper_lower	visual_segment_selected_as_lower	chieu	tɕʰiə	33		33
p126_0006_s01	images/p126_0006_s01.png	1	126	6	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	lau	lɤ	55		55
p126_0006_s02	images/p126_0006_s02.png	1	126	6	2	train	matched	both_upper_lower	visual_segment_selected_as_lower	hu	hu	52		52
p126_0008_s00	images/p126_0008_s00.png	0	126	8	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	di	di	11	11	
p126_0008_s01	images/p126_0008_s01.png	1	126	8	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	bi	bi	11		11
p126_0009_s00	images/p126_0009_s00.png	0	126	9	0	train	matched	both_upper_lower	visual_segment_single_tone__lower_null	di	di	11	11	
p126_0009_s01	images/p126_0009_s01.png	1	126	9	1	train	matched	both_upper_lower	visual_segment_selected_as_lower	ka	ka	11		11
p126_0011_s00	images/p126_0011_s00.png	0	126	11	0	train	matched	upper_only	visual_segment_single_tone__lower_null	gho	ɦɒ	11	11	
p126_0011_s01	images/p126_0011_s01.png	0	126	11	1	train	matched	upper_only	visual_segment_single_tone__lower_null	deu	də	55	55	
p126_0011_s02	images/p126_0011_s02.png	0	126	11	2	train	matched	upper_only	visual_segment_single_tone__lower_null	sy	sɿ	55	55	
p126_0011_s03	images/p126_0011_s03.png	0	126	11	3	train	matched	upper_only	visual_segment_single_tone__lower_null	cian	tɕiaŋ	52	52	
