page	row_index	hanzi	wupin	ipa_digits	match_score	candidate_headword	image	pdf_text
126	10	水川埭	sy335tsheen55da52	sɿ335tsʰẽ55da52	0.4	水丿	review/images/page_126_0010.png	水丿II埭si335tsh睬dal1 河1对地带
126	16	田	dien231	diẽ231	0.0	个	review/images/page_126_0016.png	Ill 地d i础d出水fl I 、个11对于早地说匕
126	18	田脚	dien11ciaq5	diẽ11tɕiaʔ5	0.0	元铲	review/images/page_126_0018.png	"大Ill do"" d 元铲旧指自打的口，现指大片相迕的水田。"
126	19	田畈	dien11paen55	diẽ11pæ̃55	0.0	皿儿	review/images/page_126_0019.png	皿儿l d酰t<;; ia715I门指和入耕种、需要支租的皿现指小块的水IT l o
126	20	田爿	dien11baen52	diẽ11bæ̃52	0.0	川昄	review/images/page_126_0020.png	川昄山础p忍｝地头成片的水m 。
126	22	田塍	dien11zeon52	diẽ11zəŋ52	0.0	且	review/images/page_126_0022.png	田埭［卫] dj甜da且[Ii耜］
126	24	湖墈田	wu11kheen55dien52	ɦu11kʰẽ55diẽ52	0.0	铲	review/images/page_126_0024.png	田埂d 元铲kalJ铲
127	14	疄	lin231	liŋ231	0.0	设边介地	review/images/page_127_0014.png	插头tS11无许d设边介］地。
127	15	槽	zau231	zɤ231	0.0	柏	review/images/page_127_0015.png	柏20231地缝、地沟。
127	18	山	saen52	sæ̃52	0.0	铲	review/images/page_127_0018.png	晒场sa33dzalJ铲［原晒农作物的场地n
127	23	山腰	saen33iau55	sæ̃33iɤ55	0.2857	平坦的山顶	review/images/page_127_0023.png	山岗s諒kDIJ52 平坦的山顶。
128	2	山里头	saen33li55deu52	sæ̃33li55də52	0.3333	山	review/images/page_128_0002.png	山呈头s諒Ii炉d戏I
128	3	里山	li115saen52	li115sæ̃52	0.0	绍兴南剖	review/images/page_128_0003.png	呈山1计甘s总指绍兴南剖5的山区（
128	12	瀑布	bau11pu11	bɤ11pu11	0.0	暴	review/images/page_128_0012.png	i暴fi,· bo?fpu~~
128	13	海	he335	hᴇ335	0.0	泭	review/images/page_128_0013.png	泭h百)S
128	14	海涂	he335du52	hᴇ335du52	0.0	河	review/images/page_128_0014.png	池徐hE135du钓河流入拇处的浅滩。
128	16	海白地	he335baq5di52	hᴇ335baʔ5di52	0.3333	白	review/images/page_128_0016.png	南山地h沪ba ?;1d出泭边的沙地退潮后早白色，可闱垦成良田。
128	22	汊港	tsho33kaon33	tsʰɒ33kɒŋ33	0.0	阳	review/images/page_128_0022.png	湖港fiu轩kOI)阳
128	23	㶇	wan11	ɦaŋ11	0.0	汉沿	review/images/page_128_0023.png	汉沿tS11咄kolJ贷河流斜穿入湖处。
128	24	浦	phu335	pʰu335	0.0	湘	review/images/page_128_0024.png	湘fiua1J 11 小河（现多川「地名）
128	25	渎	doq23	doʔ23	0.0	流入湖荡	review/images/page_128_0025.png	ill1 ph u315 流入湖荡的小河r
128	26	溇	leu113	lə113	0.0	读	review/images/page_128_0026.png	读do产小包
128	27	湖	wu231	ɦu231	0.0	搂	review/images/page_128_0027.png	搂I){1 u河识断头不通的地方C
129	0	荡	dan11	dɒŋ11	0.0	司种必养鱼	review/images/page_129_0000.png	汤doJJ 'J.l 小刺，司种必养鱼
129	2	水汪凼	sy335uaon55daon52	sɿ335uɒŋ55dɒŋ52	0.0	丿	review/images/page_129_0002.png	丿k衍玺困si35UOIJ甘doJJ片才d亢
129	4	涂	du231	du231	0.0	余	review/images/page_129_0004.png	i余du卫1、河湖ljI 的小洲。
129	21	海塘	he335daon52	hᴇ335dɒŋ52	0.0	智悔堤	review/images/page_129_0021.png	悔腴h甘35dOI)智悔堤C
130	2	畈里	paen55li52	pæ̃55li52	0.0	贩小	review/images/page_130_0002.png	贩小p武I i~~3才行rn野之间。
130	3	野地	ya115di52	ɦa115di52	0.0	才行	review/images/page_130_0003.png	贩小p武I i~~3才行rn野之间。
130	6	兰亭	laen11din52	læ̃11diŋ52	0.0	在城外东南郊	review/images/page_130_0006.png	禹皎fiy :: 皿I iIJ铲传说中1古时夏禹埋骨之处C 在城外东南郊r
130	13	铜	don231	doŋ231	0.0	斩	review/images/page_130_0013.png	斩I do旷＇
130	15	白铜	baq1don52	baʔ1doŋ52	0.0	纯	review/images/page_130_0015.png	紫铜tS'}mdOI)~~'纯'rl11J n 
130	17	铁	thiq45	tʰiʔ45	0.0	喇锌合金	review/images/page_130_0017.png	员铜fiUOIJ铲do1J il 1'i喇锌合金­
130	18	生铁	san33thiq5	saŋ33tʰiʔ5	0.0	饮	review/images/page_130_0018.png	饮th ie?4S
130	19	熟铁	zoq1thiq5	zoʔ1tʰiʔ5	0.0	牛釱	review/images/page_130_0019.png	牛釱sal)5汕e?;s
130	20	钢	kaon52	kɒŋ52	0.0	孰铁	review/images/page_130_0020.png	孰铁zo?叶ie?~s
130	21	铅	khaen52	kʰæ̃52	0.0	钢	review/images/page_130_0021.png	钢ko1J;1
131	0	镴	laeq23	læʔ23	0.0	一	review/images/page_131_0000.png	锡~ie?45 锡，一般指锡合金
131	2	玉	gnioq23	ȵioʔ23	0.0	指铝合金	review/images/page_131_0002.png	钢宗k otJ昔tSOIJ 5~ 指铝合金，
131	10	矾	vaen231	væ̃231	0.0	孙	review/images/page_131_0010.png	孙Lv志31
131	11	明矾	min11vaen52	miŋ11væ̃52	0.0	志钓	review/images/page_131_0011.png	叭矶mil洲v志钓
131	14	水	sy335	sɿ335	0.0	石头	review/images/page_131_0014.png	石头za汗d设
131	16	石子	zaq1tsy55	zaʔ1tsɿ55	0.0	小兀头	review/images/page_131_0016.png	石f za?f3 ts1~r 小兀头
132	0	烂湖泥	laen11wu11gni11	læ̃11ɦu11ȵi11	0.3333	炉胡泥	review/images/page_132_0000.png	炉胡泥l 元11nu和1),消稀泥巳6
132	5	埃糟	e33tsau52	ᴇ33tsɤ52	0.4	埃粕盐	review/images/page_132_0005.png	埃粕盐tso52
132	13	水泡泡	sy335phau55phau52	sɿ335pʰɤ55pʰɤ52	0.3333	水	review/images/page_132_0013.png	水［泡］泡S'}m[ph咄]ph泸
133	5	末屑	meq1soeq5	mᴇʔ1søʔ5	0.4	末丿肖	review/images/page_133_0005.png	末丿肖me?Ps0?15木儿
133	9	洞眼	don11ngaen11	doŋ11ŋæ̃11	0.0	炉哏儿	review/images/page_133_0009.png	讥叽限dOI) 11 IJ元炉哏儿。
133	10	汪凼	uaon33daon55	uɒŋ33dɒŋ55	0.0	扎	review/images/page_133_0010.png	宫［如UOl)33 [dOIJ扎］坑儿。
133	23	油蒿气	yeu11hau55chi52	ɦə11hɤ55tɕʰi52	0.3333	汕荔气	review/images/page_133_0023.png	汕荔气fi i础hofoc;;啸熬汕旧的味儿
134	0	𪑳餲头气	tseon335eq5deu55chi52	tsəŋ335ᴇʔ5də55tɕʰi52	0.3333	职揭头	review/images/page_134_0000.png	职揭头1 ( ts~IJ33:1e怀d础t¥咄指森味儿：下菜森哉，一股～。
134	5	酸胮臭	soen33phaon55tsheu52	sø̃33pʰɒŋ55tsʰə52	0.0	叨惶	review/images/page_134_0005.png	"叨惶s盐p""。IJ ;~ts""戏酸臭变质的味儿"
134	23	难朝	naen11tsau52	næ̃11tsɤ52	0.0	现在	review/images/page_134_0023.png	难n志3 1( 1) 现在C( 2 ) 如今。
135	4	之前	tsy33zhien52	tsɿ33ʑiẽ52	0.0	霖	review/images/page_135_0004.png	呆歇lJ式如e霖fiE罚扣ie?~,fi畔扣is2 过会儿e
135	9	末㞘	meq3toq5	mᴇʔ3toʔ5	0.0	后米	review/images/page_135_0009.png	后甘沁：：知s砌后米。
136	0	开年初	khe33gnien55tshu52	kʰᴇ33ȵiẽ55tsʰu52	0.0	铲	review/images/page_136_0000.png	丿卜仆三t丿丿khE~~ n,ie铲tshu~2
136	8	上半个月	zaon115poen55geq5yoeq54	zɒŋ115pø̃55ɡᴇʔ5ɦiøʔ54	0.0	忧	review/images/page_136_0008.png	1平个月ZDI) 盄p础gen (ko? ) fii0忧
136	12	月底	yoeq1ti55	ɦiøʔ1ti55	0.0	川	review/images/page_136_0012.png	川llfii0?~1 ti 贮
136	15	日	gniq23	ȵiʔ23	0.0	几	review/images/page_136_0015.png	11 几ie'产天c
136	16	日子	gniq1tsy55	ȵiʔ1tsɿ55	0.0	儅	review/images/page_136_0016.png	n,ie?i'ts-儅
136	17	日脚	gniq1ciaq5	ȵiʔ1tɕiaʔ5	0.0	卧	review/images/page_136_0017.png	II J卧I n,ie? 汽cia?f
136	26	上夜	zan115ya52	zaŋ115ɦa52	0.0	沁	review/images/page_136_0026.png	"大人后日do 11do 11 fi i1 ~沁ien3,do11d""!!""11fi¥1.1i3 n,ie?f大后天之后的"
137	0	上夜日子	zan115ya55gni55tsy52	zaŋ115ɦa55ȵi55tsɿ52	0.25	上	review/images/page_137_0000.png	上fjl U f zolJ: 
137	2	前日子	jien11gni55tsy52	dʑiẽ11ȵi55tsɿ52	0.4	前人	review/images/page_137_0002.png	前日z面如心前人。
137	5	第二日	di11gni11gni11	di11ȵi11ȵi11	0.4	第七	review/images/page_137_0005.png	第＿七Idi1 加II n,ie背第二天。
137	6	下日	gho115gni52	ɦɒ115ȵi52	0.0	背第	review/images/page_137_0006.png	第＿七Idi1 加II n,ie背第二天。
137	7	隔两日	kaq3lian55gni52	kaʔ3liaŋ55ȵi52	0.4	阰两	review/images/page_137_0007.png	阰两LIka?? lial)货n,ie?汇kre?~5 lial)如扭ien3过两天。
137	8	过两天	ku33lian33thien33	ku33liaŋ33tʰiẽ33	0.3333	天	review/images/page_137_0008.png	阰两LIka?? lial)货n,ie?汇kre?~5 lial)如扭ien3过两天。
137	10	上两日	zan115lian55gni52	zaŋ115liaŋ55ȵi52	0.0	过一	review/images/page_137_0010.png	歇［两］日邺1砌[ lial)步]n,ie?t' 过一段时间。
137	13	日里	gni11li11	ȵi11li11	0.0	甘	review/images/page_137_0013.png	成1」dZ~IJ甘虹ie?r整天c
137	14	白天	baq1thien52	baʔ1tʰiẽ52	0.0	电	review/images/page_137_0014.png	H 电T),ie?籵儒自犬
137	22	半上昼	poen33zan33tseu33	pø̃33zaŋ33tsə33	0.3333	半	review/images/page_137_0022.png	半l昼p031 zo1JU ts'll' ;~l ·. 11 过半的I I、」候，
137	28	晏下昼	aen33gho33tseu33	æ̃33ɦɒ33tsə33	0.3333	晏	review/images/page_137_0028.png	晏卜昼re·13fio忙ts戏中午和下午之间。
138	0	第六章	di11loq1tsaon11	di11loʔ1tsɒŋ11	0.0	夜快	review/images/page_138_0000.png	夜快［头]fiia 11 k11ua什[d础］傍晚c
138	1	夜快	ya11khua11	ɦa11kʰua11	0.0	什	review/images/page_138_0001.png	夜快［头]fiia 11 k11ua什[d础］傍晚c
138	10	一刻钟	iq3kheq5tson52	iʔ3kʰᴇʔ5tsoŋ52	0.3333	一	review/images/page_138_0010.png	一刻钟ie?1呐e?1s tSOIJs2 
138	13	临时	lin11zy52	liŋ11zɿ52	0.0	一	review/images/page_138_0013.png	一歇［歇] ie? 扣e?n1pie背］一会儿。
138	15	一时三刻	iq3zy55saen55kheq54	iʔ3zɿ55sæ̃55kʰᴇʔ54	0.25	一	review/images/page_138_0015.png	一时三刻ie?拉讲s諒k11e罚不多一会儿。
138	16	一歇瞎辣	iq3shiq5haeq5laeq54	iʔ3ɕiʔ5hæʔ5læʔ54	0.2857	歇眈节	review/images/page_138_0016.png	—歇眈节r ie? 识冲e?打~ h泛戏l泛沿时间看似才一会儿，实际不很
138	19	一生一世	iq3san55iq5sy52	iʔ3saŋ55iʔ5sɿ52	0.0	芹	review/images/page_138_0019.png	一生－世ie芹Sal)均e?迭代悲了C
138	22	春头上	tsheen33deu55zan52	tsʰẽ33də55zaŋ52	0.4	仆头	review/images/page_138_0022.png	仆头1 -.ts宅;d讨ZOI)囡春天。
138	23	上春头	zan115tsheen55deu52	zaŋ115tsʰẽ55də52	0.4	存头	review/images/page_138_0023.png	"L存头ZOI) 盄ts""豁d'ls'沪"
138	26	暖天家	noen115thien55cia52	nø̃115tʰiẽ55tɕia52	0.0	指盛及时	review/images/page_138_0026.png	暖人画：沪ie52 指盛及时。
138	27	热天	gniq1thien52	ȵiʔ1tʰiẽ52	0.0	暧大家	review/images/page_138_0027.png	暧大家n础t11 i睬kos2
139	3	收春花作物	seu33tsheen55huo55tseq5veq54	sə33tsʰẽ55huɒ55tsᴇʔ5vᴇʔ54	0.0	碌	review/images/page_139_0003.png	春化头里tSh躲hu碌d心li界收吞花作物（如小麦、鱼豆、汕
139	4	菜	tshe33	tsʰᴇ33	0.25	菜的时候	review/images/page_139_0004.png	菜）的时候。
139	21	十一月	zeq1iq5gnioeq54	zᴇʔ1iʔ5ȵiøʔ54	0.3333	一	review/images/page_139_0021.png	,-一月ze?仇e?15 fii0?~3 
139	22	十二月	zeq1gni55gnioeq54	zᴇʔ1ȵi55ȵiøʔ54	0.3333	十	review/images/page_139_0022.png	十二月ze?扭illfii0n', ze? 妞i 且n i0n!
140	0	第六章	di11loq1tsaon11	di11loʔ1tsɒŋ11	0.0	甘	review/images/page_140_0000.png	礼拜-li沿pa甘ie?45
140	2	礼拜二	li115pa55gni52	li115pa55ȵi52	0.0	如	review/images/page_140_0002.png	礼拜二l叫pa如jl l
140	18	中秋节	tson33chieu55ciq54	tsoŋ33tɕʰiə55tɕiʔ54	0.3333	中	review/images/page_140_0018.png	中秋节tSOIJ昔t砂心如ie常
140	26	五一节	wu115iq5ciq54	ɦu115iʔ5tɕiʔ54	0.0	霖	review/images/page_140_0026.png	三八节s諒p蚁背t~ie霖
141	0	大寒	da11gheen11	da11ɦẽ11	0.0	儿步节	review/images/page_141_0000.png	儿步节擂dolJ~~如e?~
141	1	小寒	shiau335gheen52	ɕiɤ335ɦẽ52	0.0	如	review/images/page_141_0001.png	儿步节擂dolJ~~如e?~
141	2	冬至	ton33tsy55	toŋ33tsɿ55	0.0	国庆节	review/images/page_141_0002.png	国庆节kuo?i5旷il) ~如en~
141	3	大雪	da11shiq1	da11ɕiʔ1	0.0	如	review/images/page_141_0003.png	国庆节kuo?i5旷il) ~如en~
141	4	小雪	shiau335shiq54	ɕiɤ335ɕiʔ54	0.0	立春	review/images/page_141_0004.png	立春lie?汽Sh铲
141	5	立冬	liq1ton52	liʔ1toŋ52	0.0	铲	review/images/page_141_0005.png	立春lie?汽Sh铲
141	6	霜降	saon33kaon55	sɒŋ33kɒŋ55	0.0	雨水	review/images/page_141_0006.png	雨水fiy盄s常
141	7	寒露	gheen11lu55	ɦẽ11lu55	0.0	惊坠	review/images/page_141_0007.png	惊坠tciIJ1Mzen3
141	9	白露	baq1lu55	baʔ1lu55	0.0	谷雨	review/images/page_141_0009.png	谷雨kuo?.~5 fiy炉
141	10	处暑	chiu335shiu52	tɕʰy335ɕy52	0.0	炉	review/images/page_141_0010.png	谷雨kuo?.~5 fiy炉
141	12	大暑	da11shiu11	da11ɕy11	0.0	小满	review/images/page_141_0012.png	小满ci沪m础
141	13	小暑	shiau335shiu52	ɕiɤ335ɕy52	0.0	芒种	review/images/page_141_0013.png	芒种ffiDl)和tSOIJ~{
141	15	芒种	maon11tson55	mɒŋ11tsoŋ55	0.0	铲	review/images/page_141_0015.png	小暑cio33scy铲
141	16	小满	shiau335moen52	ɕiɤ335mø̃52	0.0	大暑	review/images/page_141_0016.png	大暑da11cy铲
141	18	谷雨	kuoq3yu55	kuoʔ3ɦy55	0.0	铲	review/images/page_141_0018.png	处暑t忒YmCY铲
141	19	清明	chin33meen55	tɕʰiŋ33mẽ55	0.0	白霖	review/images/page_141_0019.png	白霖ba?Plu且
141	21	惊蛰	cin33dzeq5	tɕiŋ33dzᴇʔ5	0.0	和降	review/images/page_141_0021.png	和降SDIJ~fkolJ铲
141	22	雨水	yu115sy52	ɦy115sɿ52	0.0	铲	review/images/page_141_0022.png	和降SDIJ~fkolJ铲
141	24	国庆节	kuoq3chin55ciq54	kuoʔ3tɕʰiŋ55tɕiʔ54	0.0	小寒	review/images/page_141_0024.png	小寒cio335fi砌
141	25	儿童节	gni11don55ciq54	ȵi11doŋ55tɕiʔ54	0.0	大寒	review/images/page_141_0025.png	大寒da 11 fi础
142	0	第六章	di11loq1tsaon11	di11loʔ1tsɒŋ11	0.0	老虎	review/images/page_142_0000.png	老虎lo盄hu铲
142	1	老虎	lau115hu52	lɤ115hu52	0.0	狮子	review/images/page_142_0001.png	狮子s1昔t勺铲
142	2	狮子	sy33tsy55	sɿ33tsɿ55	0.0	象	review/images/page_142_0002.png	象也ial) l ll 
142	3	象	jian113	dʑiaŋ113	0.0	豹	review/images/page_142_0003.png	豹pou
142	4	豹	pau33	pɤ33	0.0	屯熊	review/images/page_142_0004.png	屯熊mo :l~fiiol)甘狼。
142	5	马熊	mha33yon52	hma33ɦoŋ52	0.0	甘狼	review/images/page_142_0005.png	屯熊mo :l~fiiol)甘狼。
142	12	猢	weq23	ɦᴇʔ23	0.0	瑚	review/images/page_142_0012.png	瑚il1 fiue? 跺守猴子。
142	24	鸟	tiau335	tiɤ335	0.0	闷	review/images/page_142_0024.png	闷tiom
142	27	猫头鹰	mau11deu55in52	mɤ11də55iŋ52	0.0	扒	review/images/page_142_0027.png	扒'j头鹰mo和d¥和j1)52 
142	28	仙鹤	shien33ngoq5	ɕiẽ33ŋoʔ5	0.0	和	review/images/page_142_0028.png	扒'j头鹰mo和d¥和j1)52 
143	1	雉鸡	dzy115ci52	dzɿ115tɕi52	0.4	炖鸡也	review/images/page_143_0001.png	炖鸡也邯t¥i52
143	9	黄喙	huaon33hue55	huɒŋ33huᴇ55	0.3333	黄喙霓食柏子	review/images/page_143_0009.png	黄喙，霓食柏子。
143	12	灯	teon52	təŋ52	0.0	鹄战	review/images/page_143_0012.png	步伺bu11kun鹄战。常在变天时鸣啼，久雨将晤时叫“桂拌红
143	16	鹌鹑鸟	een33zeen55tiau52	ẽ33zẽ55tiɤ52	0.2857	鹤鸦鸟睬	review/images/page_143_0016.png	鹤鸦鸟睬z础tio铲鹤鹄。
143	25	大雁	da11ngaen11	da11ŋæ̃11	0.0	鸿鹊	review/images/page_143_0025.png	鸿鹊lu科百趴lu和zu~~' 鱼股。
143	26	野鸭	ya115aeq54	ɦa115æʔ54	0.0	和	review/images/page_143_0026.png	鸿鹊lu科百趴lu和zu~~' 鱼股。
144	0	第六章	di11loq1tsaon11	di11loʔ1tsɒŋ11	0.0	咄	review/images/page_144_0000.png	鳞狗夸头tci0怀kh咄d¥智似卿色，较小。
144	1	头	deu231	də231	0.0	较小	review/images/page_144_0001.png	鳞狗夸头tci0怀kh咄d¥智似卿色，较小。
144	5	降头鱼	kaon335deu55yu52	kɒŋ335də55ɦy52	0.3333	胖头但	review/images/page_144_0005.png	胖头但phDI)甘d戏勺扩花蛉
144	6	花鲢	huo33lien52	huɒ33liẽ52	0.0	戏	review/images/page_144_0006.png	胖头但phDI)甘d戏勺扩花蛉
144	8	白条	baq1tiau52	baʔ1tiɤ52	0.0	卸伯	review/images/page_144_0008.png	卸伯fiu础。铲印血
144	9	鱼	yu231	ɦy231	0.0	前	review/images/page_144_0009.png	（前11 (- fiue:llts1W, fiue::hse? 扛
144	10	子	tsy335	tsɿ335	0.0	扛	review/images/page_144_0010.png	（前11 (- fiue:llts1W, fiue::hse? 扛
144	11	螺蛳鲭	lo11sy55chin52	lɒ11sɿ55tɕʰiŋ52	0.3333	螺姻帖	review/images/page_144_0011.png	螺姻帖lo料s森t~huJ51 帖伯，离欢吃螺姻。
144	12	鲇鱼	gniaen11yu52	ȵiæ̃11ɦy52	0.0	队伯	review/images/page_144_0012.png	队伯昢酣时
144	13	鲈鱼	lu11yu52	lu11ɦy52	0.0	妒伯	review/images/page_144_0013.png	妒伯Ju和I)约
144	15	似鳊而小	zy115pien555555shiau52	zɿ115piẽ555555ɕiɤ52	0.0	限	review/images/page_144_0015.png	［烂限］镑蚾[l无11 1)郔' ]bolJ轩b拼似蚧仙小，限珠带红色r
144	16	鱼	yu231	ɦy231	0.25	劓鱼咄咄	review/images/page_144_0016.png	劓鱼咄咄
144	18	乌鳢鱼	u33li55yu52	u33li55ɦy52	0.4	乌的	review/images/page_144_0018.png	乌的[fJ1_ um i!J矿（一］）。护黑鱼。
144	19	缺颡	chioeq3saon52	tɕʰiøʔ3sɒŋ52	0.0	一	review/images/page_144_0019.png	蚗蚀o恼S01/2 一种和钻鱼粕似的尤鳞伯，入口，头腹黄，行鳍
144	20	似刺	zy115tshy52	zɿ115tsʰɿ52	0.0	行鳍	review/images/page_144_0020.png	蚗蚀o恼S01/2 一种和钻鱼粕似的尤鳞伯，入口，头腹黄，行鳍
144	22	黄鳝	huaon52	huɒŋ52	0.0	扩扎创片	review/images/page_144_0022.png	扩扎创片fiuo1JW ze甘｀（的打午l 。
144	23	鳝鱼	yu231	ɦy231	0.0	甘	review/images/page_144_0023.png	扩扎创片fiuo1JW ze甘｀（的打午l 。
144	25	土鲋	thu335bu52	tʰu335bu52	0.0	的	review/images/page_144_0025.png	上紨thumbuH 一种很像妒也的小鱼，头人尾小。
144	30	箬鳎鱼	gniaq1thaeq5yu52	ȵiaʔ1tʰæʔ5ɦy52	0.3333	笐鳎龟	review/images/page_144_0030.png	笐鳎龟l),ia?i3 th蚁rss IJ铲比1J 鱼。
144	31	比目鱼	pi335moq5yu52	pi335moʔ5ɦy52	0.0	蚁	review/images/page_144_0031.png	笐鳎龟l),ia?i3 th蚁rss IJ铲比1J 鱼。
145	1	鳗	moen231	mø̃231	0.0	背	review/images/page_145_0001.png	乌贼［鱼] u3fag背[ I)铲］
145	6	庵	een52	ẽ52	0.0	阶	review/images/page_145_0006.png	阶iem
145	8	鱼鳍	yu11ji52	ɦy11dʑi52	0.4	货位鳍	review/images/page_145_0008.png	划水fiuo和s1货位鳍。
145	11	鳃	se52	sᴇ52	0.0	鲤	review/images/page_145_0011.png	鲤S E52
145	22	小螃蟹	shiau335baon55ha52	ɕiɤ335bɒŋ55ha52	0.0	怀	review/images/page_145_0022.png	白氓蟹ba?f3 0,io怀ha沪小镑蟹。
145	25	海螃蟹	he335baon55ha52	hᴇ335bɒŋ55ha52	0.0	畛	review/images/page_145_0025.png	横甲蟹fiual)铲k畛' ha~? ,fiual)和ke背ha导由蚁蟹
145	26	团脐	doen11ji52	dø̃11dʑi52	0.0	和	review/images/page_145_0026.png	横甲蟹fiual)铲k畛' ha~? ,fiual)和ke背ha导由蚁蟹
146	0	第六章	di11loq1tsaon11	di11loʔ1tsɒŋ11	0.0	芹	review/images/page_146_0000.png	麻蛉mo和ke芹麻如。
146	1	麻蛤	mo11keq5	mɒ11kᴇʔ5	0.0	员舰	review/images/page_146_0001.png	员舰fiUDIJ铲ci盐
146	2	黄蚬	huaon33shioen55	huɒŋ33ɕiø̃55	0.0	盐	review/images/page_146_0002.png	员舰fiUDIJ铲ci盐
146	3	子	tsy335	tsɿ335	0.0	蚽	review/images/page_146_0003.png	蚽[-ts11:;,IJ甘ts雷，ts11~1J甘tse?;5
146	5	田螺	dien11lo52	diẽ11lɒ52	0.0	虫累	review/images/page_146_0005.png	Il l 虫累die汴lo铲
146	10	癞刺蛤	la11tshy11keq1	la11tsʰɿ11kᴇʔ1	0.2857	娴刺蛉吧	review/images/page_146_0010.png	"娴刺蛉吧la""ts节ke?i5po52 , la II s1廿ke芹po52 躺蛉蟆。"
146	16	蚕	zeen231	zẽ231	0.0	伊	review/images/page_146_0016.png	蛇虫百脚zon' dzoJJ伊pa许t仰ia岱指虫子和爬行动物。
146	31	绩婆婆	ciq3bo55bo52	tɕiʔ3bɒ55bɒ52	0.0	芹	review/images/page_146_0031.png	灶壁鸡tso31pie芹t~j S2 一种很像蟋蟀的昆虫、常在厨房出没c
147	0	油唧蛉	yeu11ciq5lin52	ɦə11tɕiʔ5liŋ52	0.3333	汕咄蛉	review/images/page_147_0000.png	汕咄蛉和础t<;;ie芹Iii)~~•汕葫户。
147	1	虼蜢	keq3man55	kᴇʔ3maŋ55	0.0	蛇猛	review/images/page_147_0001.png	蛇猛ke怀ma咄( l ) 炸蝠。( 2 ) 蝗虫，
147	4	蛄	ku52	ku52	0.0	奾帖	review/images/page_147_0004.png	奾帖fi i对ku51 镂姑。
147	6	蜒螺	yen11lo52	ɦẽ11lɒ52	0.4	蜓妯螺	review/images/page_147_0006.png	蜓妯螺fiie沪fi i烛lo矿蜓屾。
147	7	带壳蜒螺	ta33khoq3yen33lo33	ta33kʰoʔ3ɦẽ33lɒ33	0.2857	带无蜓	review/images/page_147_0007.png	带无蜓奾螺ta吩o?~5 fiie吓i咄lo铲蜗牛。
147	25	螺	lo231	lɒ231	0.0	喙	review/images/page_147_0025.png	喙［子］虫如8IJ 盄[ts儒]dzoJJ沪米中的一种，飞E色小虫，长有一个长
147	26	鼻子	beq1tsy55	bᴇʔ1tsɿ55	0.0	色小虫	review/images/page_147_0026.png	喙［子］虫如8IJ 盄[ts儒]dzoJJ沪米中的一种，飞E色小虫，长有一个长
