row_id,page,hanzi,wupin,alt_wupin,note,legacy_ipa_ocr,has_wupin,source,ipa_from_wupin,ipa_conversion_status,ipa_label_source,wupin_from_ipa,wupin_from_ipa_status
r00016,123,七簇星,chiq3tshoq5shin52,,北斗星,tɕʰiʔtsʰoʔɕiŋ,True,result_all_converted.xlsx,tɕʰiʔ³tsʰoʔ⁵ɕiŋ⁵²,ok,rule_from_trusted_wupin,chiq3tshoq5shin52,ok
r00017,123,扫帚星,sau33tseu33shin33,sau5,彗星,tlsɒtsɤɕiŋ,True,result_all_converted.xlsx,sɒ³³tsɤ³³ɕiŋ³³,ok,rule_from_trusted_wupin,sau33tseu33shin33,ok
r00018,123,射星,zo11shin11,2o6,流星,lzoɕiŋi,True,result_all_converted.xlsx,zo¹¹ɕiŋ¹¹,ok,rule_from_trusted_wupin,zo11shin11,ok
r00019,123,天河,thien33gho52,,银河,ktʰẽɦo,True,result_all_converted.xlsx,tʰiẽ³³ɦo⁵²,ok,rule_from_trusted_wupin,thien33gho52,ok
r00020,123,风,fon52,,,lfoŋ,True,result_all_converted.xlsx,foŋ⁵²,ok,rule_from_trusted_wupin,fon52,ok
r00021,123,大风,do11fon11,do6,,kdofoŋ,True,result_all_converted.xlsx,do¹¹foŋ¹¹,ok,rule_from_trusted_wupin,do11fon11,ok
r00022,123,暴风,pau33fon33,bau4;bau6;bau6;boq8,（1）狂风。（2）台风。“暴”，或以为是“报”的训读。因为无论是因冬季冷空气南下引发的寒潮还是夏季大洋上吹来的台风，出没都是有一定规律的。,lpɒfoŋlllʔll,True,result_all_converted.xlsx,pɒ³³foŋ³³,ok,rule_from_trusted_wupin,pau33fon33,ok
r00023,123,风暴,fon33pau55,bau4;bau6;bau6;boq8,（1）狂风。（3）台风。“暴”，或以为是“报”的训读。因为无论是因冬季冷空气南下引发的寒潮还是夏季大洋上吹来的台风，出没都是有一定规律的。,foŋpɒ,True,result_all_converted.xlsx,foŋ³³pɒ⁵⁵,ok,rule_from_trusted_wupin,fon33pau55,ok
r00024,123,台风,de11fon52,de2,,difoŋ,True,result_all_converted.xlsx,de¹¹foŋ⁵²,ok,rule_from_trusted_wupin,de11fon52,ok
r00025,123,乌风猛暴,u33fon55man55pau52,bau4;bau6;bau6;boq8,指夏季刮台风时阴云密布、狂风拔树倒屋的景象。,lufoŋmaŋplzi,True,result_all_converted.xlsx,u³³foŋ⁵⁵maŋ⁵⁵pɒ⁵²,ok,rule_from_trusted_wupin,u33fon55man55pau52,ok
r00026,124,龙风,lon11fon52,,龙卷风,,True,result_all_converted.xlsx,loŋ¹¹foŋ⁵²,ok,rule_from_trusted_wupin,lon11fon52,ok
r00027,124,鬼子头风,ciu335tseq5deu55fon52,kue3tsy3;tseq7,旋风,ltytsʔdɤfoŋ,True,result_all_converted.xlsx,tɕiɤ³³⁵tsəʔ⁵dɤ⁵⁵foŋ⁵²,ok,rule_from_trusted_wupin,ciu335tseq5deu55fon52,ok
r00028,124,顺风,zeen11fon11,,,lzẽfoŋ,True,result_all_converted.xlsx,zẽ¹¹foŋ¹¹,ok,rule_from_trusted_wupin,zeen11fon11,ok
r00029,124,顶头风,tin335deu55fon52,tin3,顶头风,ltiŋdɤfoŋ,True,result_all_converted.xlsx,tiŋ³³⁵dɤ⁵⁵foŋ⁵²,ok,rule_from_trusted_wupin,tin335deu55fon52,ok
r00030,124,斗风,teu335fon52,teu5,顶头风,ktɤfoŋ,True,result_all_converted.xlsx,tɤ³³⁵foŋ⁵²,ok,rule_from_trusted_wupin,teu335fon52,ok
r00031,124,斗头风,teu335deu55fon52,teu5,顶头风,tɤdfoŋ,True,result_all_converted.xlsx,tɤ³³⁵dɤ⁵⁵foŋ⁵²,ok,rule_from_trusted_wupin,teu335deu55fon52,ok
r00032,124,穿堂风,tsheen33daon55fon52,tshoen1,,ltsʰdɒŋfoŋ,True,result_all_converted.xlsx,tsʰẽ³³dɒŋ⁵⁵foŋ⁵²,ok,rule_from_trusted_wupin,tsheen33daon55fon52,ok
r00033,124,云,yoen231,yoen2,云彩,zɦiø̃z,True,result_all_converted.xlsx,ɦøŋ²³¹,ok,rule_from_trusted_wupin,yoen231,ok
r00034,124,云头,yoen11deu52,yoen2,云块,zɦidɤtk,True,result_all_converted.xlsx,ɦøŋ¹¹dɤ⁵²,ok,rule_from_trusted_wupin,yoen11deu52,ok
r00035,124,乌云,u33yoen52,yoen2,,luɦi,True,result_all_converted.xlsx,u³³ɦøŋ⁵²,ok,rule_from_trusted_wupin,u33yoen52,ok
r00036,124,鱼厣云,yu11ieen55yoen52,ng2yoen2,鱼鳞云,,True,result_all_converted.xlsx,ɦu¹¹iẽ⁵⁵ɦøŋ⁵²,ok,rule_from_trusted_wupin,yu11ieen55yoen52,ok
r00037,124,瓦爿云,ngo115baen55yoen52,yoen2,,,True,result_all_converted.xlsx,ŋo¹¹⁵bæ̃⁵⁵ɦøŋ⁵²,ok,rule_from_trusted_wupin,ngo115baen55yoen52,ok
r00038,124,火烧云,hu335sau55yoen52,yoen2,霞,kzhusɒɦit,True,result_all_converted.xlsx,hu³³⁵sɒ⁵⁵ɦøŋ⁵²,ok,rule_from_trusted_wupin,hu335sau55yoen52,ok
r00039,124,大雷,do11le11,do6,雷,doll,True,result_all_converted.xlsx,do¹¹le¹¹,ok,rule_from_trusted_wupin,do11le11,ok
r00040,124,大雷公公,do11lo11kuon11kuon11,do6,对雷的拟人称呼：~响，背得老娘踏踏抢。,kdolkuoŋkuoŋli,True,result_all_converted.xlsx,do¹¹lo¹¹kuoŋ¹¹kuoŋ¹¹,ok,rule_from_trusted_wupin,do11lo11kuon11kuon11,ok
r00041,124,霹雳雷,phiq3liq5le52,,霹雳,,True,result_all_converted.xlsx,pʰiʔ³liʔ⁵le⁵²,ok,rule_from_trusted_wupin,phiq3liq5le52,ok
r00042,124,沉雷,dzeen11le11,dzeen6;dzeen6,雷,idzẽl,True,result_all_converted.xlsx,dzẽ¹¹le¹¹,ok,rule_from_trusted_wupin,dzeen11le11,ok
r00043,124,响雷,shian335le52,,,lŋlɕiaŋl,True,result_all_converted.xlsx,ɕiaŋ³³⁵le⁵²,ok,rule_from_trusted_wupin,shian335le52,ok
r00044,124,霍闪,huoq3seen55,huaq7;huaeq7;hoq7;hoq7;bonyseen3;soen3,闪电,lhuoʔsẽhuasẽl,True,result_all_converted.xlsx,huoʔ³sẽ⁵⁵,ok,rule_from_trusted_wupin,huoq3seen55,ok
r00045,124,霍闪娘娘,huoq3seen55gnian55gnian52,huaq7;huaeq7;hoq7;hoq7;bonyseen3;soen3,闪电的拟人称呼,huoʔsniaŋŋiaŋhuaʔsẽniaŋniaŋtl,True,result_all_converted.xlsx,huoʔ³sẽ⁵⁵ȵiaŋ⁵⁵ȵiaŋ⁵²,ok,rule_from_trusted_wupin,huoq3seen55gnian55gnian52,ok
r00046,124,鲎,heu33,,虹,,True,result_all_converted.xlsx,hɤ³³,ok,rule_from_trusted_wupin,heu33,ok
r00047,124,雨,yu113,,,lɦy,True,result_all_converted.xlsx,ɦu¹¹³,ok,rule_from_trusted_wupin,yu113,ok
r00048,124,大雨,do11yu11,do6,,idoɦy,True,result_all_converted.xlsx,do¹¹ɦu¹¹,ok,rule_from_trusted_wupin,do11yu11,ok
r00049,124,呆大雨,nge11do55yu52,te1;nge2do6,,lŋdolɦy,True,result_all_converted.xlsx,ŋe¹¹do⁵⁵ɦu⁵²,ok,rule_from_trusted_wupin,nge11do55yu52,ok
r00050,124,阵头,dzeen11deu11,,雷阵雨,fdzdɤɦy,True,result_all_converted.xlsx,dzẽ¹¹dɤ¹¹,ok,rule_from_trusted_wupin,dzeen11deu11,ok
r00051,124,赶狗阵,keen335keu55dzeen52,,持续时间短的雷阵雨,ttkẽkdzẽll,True,result_all_converted.xlsx,kẽ³³⁵kɤ⁵⁵dzẽ⁵²,ok,rule_from_trusted_wupin,keen335keu55dzeen52,ok
r00052,124,时雨,zy11yu55,,连阴雨,lziɦykil,True,result_all_converted.xlsx,zy¹¹ɦu⁵⁵,ok,rule_from_trusted_wupin,zy11yu55,ok
r00053,125,毛稍雨,mau11sau55yu52,mhau1;mau2,细雨,flmɒsɒɦyl,True,result_all_converted.xlsx,mɒ¹¹sɒ⁵⁵ɦu⁵²,ok,rule_from_trusted_wupin,mau11sau55yu52,ok
r00054,125,磨碎雨,mo11se55yu52,mo2;mo2;mo2;mo6,细雨,lmosɦy,True,result_all_converted.xlsx,mo¹¹se⁵⁵ɦu⁵²,ok,rule_from_trusted_wupin,mo11se55yu52,ok
r00055,125,雨毛丝,yu115mau55sy52,mhau1;mau2,毛毛雨,ɦymɒsi,True,result_all_converted.xlsx,ɦu¹¹⁵mɒ⁵⁵sy⁵²,ok,rule_from_trusted_wupin,yu115mau55sy52,ok
r00056,125,雨点,yu115tien52,,,lɦytiẽ,True,result_all_converted.xlsx,ɦu¹¹⁵tiẽ⁵²,ok,rule_from_trusted_wupin,yu115tien52,ok
r00057,125,雨脚,yu115ciaq54,,指雨滴下垂成线状：~唔有断过天一时还𣍐晴唻。,iɦylltɕiaʔklkfis,True,result_all_converted.xlsx,ɦu¹¹⁵tɕiaʔ⁵⁴,ok,rule_from_trusted_wupin,yu115ciaq54,ok
r00058,125,雾露,wu11lu11,,雾,ɦulu,True,result_all_converted.xlsx,ɦu¹¹lu¹¹,ok,rule_from_trusted_wupin,wu11lu11,ok
r00059,125,雾气,wu11chi11,,,ɦutɕʰi,True,result_all_converted.xlsx,ɦu¹¹tɕʰi¹¹,ok,rule_from_trusted_wupin,wu11chi11,ok
r00060,125,露水,lu11sy11,sy3;se3,,kklus,True,result_all_converted.xlsx,lu¹¹sy¹¹,ok,rule_from_trusted_wupin,lu11sy11,ok
r00061,125,霜,saon52,,,isɒŋ,True,result_all_converted.xlsx,sɒŋ⁵²,ok,rule_from_trusted_wupin,saon52,ok
r00062,125,冰,pin52,,,ipiŋboʔpiŋbɒk,True,result_all_converted.xlsx,piŋ⁵²,ok,rule_from_trusted_wupin,pin52,ok
r00063,125,蟹壳冰,ha335khoq5pin52,,薄冰,hakʰoʔpiŋilik,True,result_all_converted.xlsx,ha³³⁵kʰoʔ⁵piŋ⁵²,ok,rule_from_trusted_wupin,ha335khoq5pin52,ok
r00064,125,葱管糖,tshon33kuoen55daon52,,指屋檐下的冰溜子,ltsʰoŋkudɒŋttsʰŋkuødɒŋtfk,True,result_all_converted.xlsx,tsʰoŋ³³kuøŋ⁵⁵dɒŋ⁵²,ok,rule_from_trusted_wupin,tshon33kuoen55daon52,ok
r00065,125,雪,shiq45,,,iiʔ,True,result_all_converted.xlsx,ɕiʔ⁴⁵,ok,rule_from_trusted_wupin,shiq45,ok
r00066,125,雪子,shiq3tsy55,tsy3;tseq7,霰,fɕiʔts,True,result_all_converted.xlsx,ɕiʔ³tsy⁵⁵,ok,rule_from_trusted_wupin,shiq3tsy55,ok
r00067,125,雪石子,shiq3zaq5tsy52,zaq8;zeoq8tsy3;tseq7,霰,iiɕiʔzaʔts,True,result_all_converted.xlsx,ɕiʔ³zaʔ⁵tsy⁵²,ok,rule_from_trusted_wupin,shiq3zaq5tsy52,ok
r00068,125,雹子,boq1tsy55,diē11tsy3;tseq7,,,True,result_all_converted.xlsx,boʔ¹tsy⁵⁵,ok,rule_from_trusted_wupin,boq1tsy55,ok
r00069,125,冰雹,pin33boq5,gboq,,,True,result_all_converted.xlsx,piŋ³³boʔ⁵,ok,rule_from_trusted_wupin,pin33boq5,ok
r00070,125,天家,thien33ko52,ke1;ko1;ko1;ko1;cio1,天时天气,ʑtʰiẽkoi,True,result_all_converted.xlsx,tʰiẽ³³ko⁵²,ok,rule_from_trusted_wupin,thien33ko52,ok
r00071,125,晴天,jin11thien52,,,kdʑiŋtʰiẽ,True,result_all_converted.xlsx,dʑiŋ¹¹tʰiẽ⁵²,ok,rule_from_trusted_wupin,jin11thien52,ok
r00072,125,皎致晴天,ciau33tsy55jin55thien52,tsy5;tsy5;tsy5;tsy5,晴空万里的天气,ilktɕiɒttsdʑiŋktʰilll,True,result_all_converted.xlsx,tɕiɒ³³tsy⁵⁵dʑiŋ⁵⁵tʰiẽ⁵²,ok,rule_from_trusted_wupin,ciau33tsy55jin55thien52,ok
r00073,125,阴天,in33thien52,,,iŋtʰiẽ,True,result_all_converted.xlsx,iŋ³³tʰiẽ⁵²,ok,rule_from_trusted_wupin,in33thien52,ok
r00074,125,阴叆天,in33a55thien52,,晴而多云的天气,,True,result_all_converted.xlsx,iŋ³³a⁵⁵tʰiẽ⁵²,ok,rule_from_trusted_wupin,in33a55thien52,ok
r00075,125,落雨天,loq1yu55thien52,,雨天,tloʔɦytʰiẽl,True,result_all_converted.xlsx,loʔ¹ɦu⁵⁵tʰiẽ⁵²,ok,rule_from_trusted_wupin,loq1yu55thien52,ok
r00076,125,梅雨,me11yu55,,农历五月黄梅季节的连阴雨,kmɦyfl,True,result_all_converted.xlsx,me¹¹ɦu⁵⁵,ok,rule_from_trusted_wupin,me11yu55,ok
r00077,125,养花天,yan115huo55thien52,,指春后半晴半雨有利于棉花生长的天气,ɦiaŋhuotʰitltk,True,result_all_converted.xlsx,ɦaŋ¹¹⁵huo⁵⁵tʰiẽ⁵²,ok,rule_from_trusted_wupin,yan115huo55thien52,ok
r00078,125,黄梅天,waon11me55thien52,waon2,指农历五月多雨的潮湿天气,ɦuɒŋmtʰiẽfik,True,result_all_converted.xlsx,ɦɒŋ¹¹me⁵⁵tʰiẽ⁵²,ok,rule_from_trusted_wupin,waon11me55thien52,ok
r00079,125,梅天,me11thien52,,指农历五月多雨的潮湿天气,mtʰiẽ,True,result_all_converted.xlsx,me¹¹tʰiẽ⁵²,ok,rule_from_trusted_wupin,me11thien52,ok
r00080,125,雾天,wu11thien11,,,kftʰiẽ,True,result_all_converted.xlsx,ɦu¹¹tʰiẽ¹¹,ok,rule_from_trusted_wupin,wu11thien11,ok
r00081,126,黄沙天,waon11so55thien52,waon2,扬沙天气,ibɦuɒŋsotʰiẽlk,True,result_all_converted.xlsx,ɦɒŋ¹¹so⁵⁵tʰiẽ⁵²,ok,rule_from_trusted_wupin,waon11so55thien52,ok
r00082,126,霉𪑳天,me11tseon55thien52,,指黄梅时节衣物潮湿易长霉渍的天气,,True,result_all_converted.xlsx,me¹¹tsəŋ⁵⁵tʰiẽ⁵²,ok,rule_from_trusted_wupin,me11tseon55thien52,ok
r00083,126,返潮天,faen335dzau55thien52,,指黄梅时节石渗水墙壁发霉的天气,ifdtʰiitiktf,True,result_all_converted.xlsx,fæ̃³³⁵dzɒ⁵⁵tʰiẽ⁵²,ok,rule_from_trusted_wupin,faen335dzau55thien52,ok
r00084,126,潮煞天,dzau11saeq5thien52,,指黄梅时节石渗水墙壁发霉的天气,lkdzɒsʔtʰiẽ,True,result_all_converted.xlsx,dzɒ¹¹sæʔ⁵tʰiẽ⁵²,ok,rule_from_trusted_wupin,dzau11saeq5thien52,ok
r00085,126,夏邋遢,gho11laeq1thaeq1,,指夏日人们多汗水，居所各处都显得不清洁的天气,,True,result_all_converted.xlsx,ɦo¹¹læʔ¹tʰæʔ¹,ok,rule_from_trusted_wupin,gho11laeq1thaeq1,ok
r00086,126,秋赖柴,chieu33la55za52,chieu1,指初秋时晴时雨的天气,kitiɤlazaklllllltti,True,result_all_converted.xlsx,tɕʰiɤ³³la⁵⁵za⁵²,ok,rule_from_trusted_wupin,chieu33la55za52,ok
r00087,126,秋老虎,chieu33lau55hu52,chieu1lau4;lau6,指立秋后仍然炎热的天气,fktiɤlɒhukfkklk,True,result_all_converted.xlsx,tɕʰiɤ³³lɒ⁵⁵hu⁵²,ok,rule_from_trusted_wupin,chieu33lau55hu52,ok
r00088,126,桂花𪑳,kue33huo33tseon33,,指农历八月桂花开放时虽已入秋仍然潮湿的天气,,True,result_all_converted.xlsx,kue³³huo³³tsəŋ³³,ok,rule_from_trusted_wupin,kue33huo33tseon33,ok
r00089,126,地皮,di11bi11,,土地,lkidibill,True,result_all_converted.xlsx,di¹¹bi¹¹,ok,rule_from_trusted_wupin,di11bi11,ok
r00090,126,地界,di11ka11,cia5;cia5,地区,dika,True,result_all_converted.xlsx,di¹¹ka¹¹,ok,rule_from_trusted_wupin,di11ka11,ok
r00091,126,水川埭,sy335tsheen55da52,sy3;se3tshoen1da6;da6;da6;da6,河网地带,,True,result_all_converted.xlsx,sy³³⁵tsʰẽ⁵⁵da⁵²,ok,rule_from_trusted_wupin,sy335tsheen55da52,ok
r00092,126,河头水脚,gho11deu55sy55cian52,sy3;se3,指有河湖荡池的地方。,lɦodɤstiaŋulltiaʔ,True,result_all_converted.xlsx,ɦo¹¹dɤ⁵⁵sy⁵⁵tɕiaŋ⁵²,ok,rule_from_trusted_wupin,gho11deu55sy55cian52,ok
r00093,126,平地,bin11di55,,,lbiŋdi,True,result_all_converted.xlsx,biŋ¹¹di⁵⁵,ok,rule_from_trusted_wupin,bin11di55,ok
r00094,126,笡坡,chia33pho33,,上下坡,,True,result_all_converted.xlsx,tɕʰia³³pʰo³³,ok,rule_from_trusted_wupin,chia33pho33,ok
r00095,126,坡地,pho33di55,,,lpoil,True,result_all_converted.xlsx,pʰo³³di⁵⁵,ok,rule_from_trusted_wupin,pho33di55,ok
r00096,126,田地,dien11di55,,水田相对于旱地说,lẽillki,True,result_all_converted.xlsx,diẽ¹¹di⁵⁵,ok,rule_from_trusted_wupin,dien11di55,ok
r00097,126,田,dien231,,水田相对于旱地说,llldiẽb,True,result_all_converted.xlsx,diẽ²³¹,ok,rule_from_trusted_wupin,dien231,ok
r00098,126,大田,do11dien11,do6,旧指自有的田，现指大片的田,kldodiẽltzkl,True,result_all_converted.xlsx,do¹¹diẽ¹¹,ok,rule_from_trusted_wupin,do11dien11,ok
r00099,126,田脚,dien11ciaq5,,旧指租入耕种需要交租的田现指小块的水田,lldiẽtɕiaʔlfklttl,True,result_all_converted.xlsx,diẽ¹¹tɕiaʔ⁵,ok,rule_from_trusted_wupin,dien11ciaq5,ok
r00100,126,田畈,dien11paen55,paen5;faen5,地头成片的水田,lipæ̃tk,True,result_all_converted.xlsx,diẽ¹¹pæ̃⁵⁵,ok,rule_from_trusted_wupin,dien11paen55,ok
r00101,126,田爿,dien11baen52,,地头成片的水田,,True,result_all_converted.xlsx,diẽ¹¹bæ̃⁵²,ok,rule_from_trusted_wupin,dien11baen52,ok
r00102,126,田埭,dien11da55,da6;da6;da6;da6,地头成片的水田,lllklldidalik,True,result_all_converted.xlsx,diẽ¹¹da⁵⁵,ok,rule_from_trusted_wupin,dien11da55,ok
r00103,126,田塍,dien11zeon52,,田间较高的小道,,True,result_all_converted.xlsx,diẽ¹¹zəŋ⁵²,ok,rule_from_trusted_wupin,dien11zeon52,ok
r00104,126,田埂,dien11kan55,kan3;keon3,田间较高的小道,llldiẽkaŋ,True,result_all_converted.xlsx,diẽ¹¹kaŋ⁵⁵,ok,rule_from_trusted_wupin,dien11kan55,ok
r00105,126,湖墈田,wu11kheen55dien52,,湖边较高的水田,,True,result_all_converted.xlsx,ɦu¹¹kʰẽ⁵⁵diẽ⁵²,ok,rule_from_trusted_wupin,wu11kheen55dien52,ok
r00106,127,烂水低田,laen11sy11ti11dien11,sy3;se3,常年积水无法排除的低田,tklæ̃stidifkll,True,result_all_converted.xlsx,læ̃¹¹sy¹¹ti¹¹diẽ¹¹,ok,rule_from_trusted_wupin,laen11sy11ti11dien11,ok
r00107,127,𡏘沟,gho11keu11,,田间堆积土肥的浅坑,pt,True,result_all_converted.xlsx,ɦo¹¹kɤ¹¹,ok,rule_from_trusted_wupin,gho11keu11,ok
r00108,127,地,di11,,旱地,di,True,result_all_converted.xlsx,di¹¹,ok,rule_from_trusted_wupin,di11,ok
r00109,127,园地,yoen11di55,,菜地,ɦdil,True,result_all_converted.xlsx,ɦøŋ¹¹di⁵⁵,ok,rule_from_trusted_wupin,yoen11di55,ok
r00110,127,地条,di11diau11,trau1;diau2,田边菜地,didiɒll,True,result_all_converted.xlsx,di¹¹diɒ¹¹,ok,rule_from_trusted_wupin,di11diau11,ok
r00111,127,田㽘,dien11gaon55,,畦间较低的小道,,True,result_all_converted.xlsx,diẽ¹¹ɡɒŋ⁵⁵,ok,rule_from_trusted_wupin,dien11gaon55,ok
r00112,127,熟地,zoq1di55,,经过多年耕种的土地,zoʔdil,True,result_all_converted.xlsx,zoʔ¹di⁵⁵,ok,rule_from_trusted_wupin,zoq1di55,ok
r00113,127,荒地,huaon33di55,,,thuɒŋdil,True,result_all_converted.xlsx,huɒŋ³³di⁵⁵,ok,rule_from_trusted_wupin,huaon33di55,ok
r00114,127,生地,san33di55,san1;seon1,荒地,saŋdil,True,result_all_converted.xlsx,saŋ³³di⁵⁵,ok,rule_from_trusted_wupin,san33di55,ok
r00115,127,杂地,dzaq1di55,boaz,有石块的荒地,zaʔditft,True,result_all_converted.xlsx,dzaʔ¹di⁵⁵,ok,rule_from_trusted_wupin,dzaq1di55,ok
r00116,127,沙地,so33di55,,海边含沙的耕地,lsodillk,True,result_all_converted.xlsx,so³³di⁵⁵,ok,rule_from_trusted_wupin,so33di55,ok
r00117,127,陷沙地,ghaen11so11di11,ghaen6;yen6,能陷入人畜的沙地,ltɦsodillt,True,result_all_converted.xlsx,ɦæ̃¹¹so¹¹di¹¹,ok,rule_from_trusted_wupin,ghaen11so11di11,ok
r00118,127,碱子地,kaen335tsy55di52,cien3;cien3tsy3;tseq7,盐碱地,fkæ̃tsʔdik,True,result_all_converted.xlsx,kæ̃³³⁵tsy⁵⁵di⁵²,ok,rule_from_trusted_wupin,kaen335tsy55di52,ok
r00119,127,𡍪头,tshaeq3deu52,,边角地,,True,result_all_converted.xlsx,tsʰæʔ³dɤ⁵²,ok,rule_from_trusted_wupin,tshaeq3deu52,ok
r00120,127,疄,lin231,,畦,,True,result_all_converted.xlsx,liŋ²³¹,ok,rule_from_trusted_wupin,lin231,ok
r00121,127,槽,zau231,za2;dzau2;zau2;zau2,地缝地沟,zɒt,True,result_all_converted.xlsx,zɒ²³¹,ok,rule_from_trusted_wupin,zau231,ok
r00122,127,坛场,daen11dzan52,daen2;daen2;doen2;doen2,可堆放什物的空旷地,ttŋddzaŋŋit,True,result_all_converted.xlsx,dæ̃¹¹dzaŋ⁵²,ok,rule_from_trusted_wupin,daen11dzan52,ok
r00123,127,晒场,sa33dzan33,,晾晒农作物的场地,ɡŋ,True,result_all_converted.xlsx,sa³³dzaŋ³³,ok,rule_from_trusted_wupin,sa33dzan33,ok
r00124,127,山,saen52,,,s,True,result_all_converted.xlsx,sæ̃⁵²,ok,rule_from_trusted_wupin,saen52,ok
r00125,127,山头,saen33deu55,,,sd,True,result_all_converted.xlsx,sæ̃³³dɤ⁵⁵,ok,rule_from_trusted_wupin,saen33deu55,ok
r00126,127,山顶,saen33tin33,tin3,,llsæ̃tiŋ,True,result_all_converted.xlsx,sæ̃³³tiŋ³³,ok,rule_from_trusted_wupin,saen33tin33,ok
r00127,127,山脊,saen33ciq5,,,sktɕiʔt,True,result_all_converted.xlsx,sæ̃³³tɕiʔ⁵,ok,rule_from_trusted_wupin,saen33ciq5,ok
r00128,127,山岗,saen33kaon52,,平坦的山顶,sæ̃kɒŋll,True,result_all_converted.xlsx,sæ̃³³kɒŋ⁵²,ok,rule_from_trusted_wupin,saen33kaon52,ok
