sample_id	variant	source_split	wupin	ipa_digits_from_wupin	wupin_back	standalone_wupin_back	exact	standalone_exact	forward_status	backward_status
pdf003_p125_0007	original_export	train	lu11sy11	lu11sy11	lu11sy11	lu11sy11	1	1	ok	ok
pdf003_p125_0008	original_export	train	saon52	sɒŋ52	saon52	saon52	1	1	ok	ok
pdf003_p125_0009	original_export	train	pin52	piŋ52	pin52	pin52	1	1	ok	ok
pdf003_p125_0010	original_export	train	ha335khoq5pin52	ha335kʰoʔ5piŋ52	ha335khoq5pin52	ha335khoq5pin52	1	1	ok	ok
pdf003_p125_0011	original_export	train	tshon33kuoen55daon52	tsʰoŋ33kuø̃55dɒŋ52	tshon33kuoen55daon52	tshon33kuoen55daon52	1	1	ok	ok
pdf003_p125_0012	original_export	train	shiq45	ɕiʔ45	shiq45	shiq45	1	1	ok	ok
pdf003_p125_0013	original_export	train	shiq3tsy55	ɕiʔ3tsy55	shiq3tsy55	shiq3tsy55	1	1	ok	ok
pdf003_p125_0014	original_export	train	shiq3zaq5tsy52	ɕiʔ3zaʔ5tsy52	shiq3zaq5tsy52	shiq3zaq5tsy52	1	1	ok	ok
pdf003_p125_0015	original_export	train	boq1tsy55	boʔ1tsy55	boq1tsy55	boq1tsy55	1	1	ok	ok
pdf003_p125_0016	original_export	train	pin33boq5	piŋ33boʔ5	pin33boq5	pin33boq5	1	1	ok	ok
pdf003_p125_0017	original_export	train	thien33ko52	tʰiẽ33kɒ52	thien33ko52	thien33ko52	1	1	ok	ok
pdf003_p125_0018	original_export	train	jin11thien52	dʑiŋ11tʰiẽ52	jin11thien52	jin11thien52	1	1	ok	ok
pdf003_p125_0019	original_export	train	ciau33tsy55jin55thien52	tɕiɤ33tsy55dʑiŋ55tʰiẽ52	ciau33tsy55jin55thien52	ciau33tsy55jin55thien52	1	1	ok	ok
pdf003_p125_0020	original_export	train	in33thien52	iŋ33tʰiẽ52	in33thien52	in33thien52	1	1	ok	ok
pdf003_p125_0021	original_export	train	in33a55thien52	iŋ33a55tʰiẽ52	in33a55thien52	in33a55thien52	1	1	ok	ok
pdf003_p125_0022	original_export	train	loq1yu55thien52	loʔ1ɦy55tʰiẽ52	loq1yu55thien52	loq1yu55thien52	1	1	ok	ok
pdf003_p125_0023	original_export	train	me11yu55	mᴇ11ɦy55	me11yu55	me11yu55	1	1	ok	ok
pdf003_p125_0024	original_export	train	yan115huo55thien52	ɦiaŋ115huɒ55tʰiẽ52	yan115huo55thien52	yan115huo55thien52	1	1	ok	ok
pdf003_p125_0025	original_export	train	waon11me55thien52	ɦuɒŋ11mᴇ55tʰiẽ52	waon11me55thien52	waon11me55thien52	1	1	ok	ok
pdf003_p125_0026	original_export	train	me11thien52	mᴇ11tʰiẽ52	me11thien52	me11thien52	1	1	ok	ok
pdf003_p125_0027	original_export	train	wu11thien11	ɦu11tʰiẽ11	wu11thien11	wu11thien11	1	1	ok	ok
pdf004_p126_0000	original_export	train	waon11so55thien52	ɦuɒŋ11sɒ55tʰiẽ52	waon11so55thien52	waon11so55thien52	1	1	ok	ok
pdf004_p126_0001	original_export	train	me11tseon55thien52	mᴇ11tsəŋ55tʰiẽ52	me11tseon55thien52	me11tseon55thien52	1	1	ok	ok
pdf004_p126_0002	original_export	train	faen335dzau55thien52	fæ̃335dzɤ55tʰiẽ52	faen335dzau55thien52	faen335dzau55thien52	1	1	ok	ok
pdf004_p126_0003	original_export	train	dzau11saeq5thien52	dzɤ11sæʔ5tʰiẽ52	dzau11saeq5thien52	dzau11saeq5thien52	1	1	ok	ok
pdf004_p126_0004	original_export	train	gho11laeq1thaeq1	ɦɒ11læʔ1tʰæʔ1	gho11laeq1thaeq1	gho11laeq1thaeq1	1	1	ok	ok
pdf004_p126_0005	original_export	train	chieu33la55za52	tɕʰiə33la55za52	chieu33la55za52	chieu33la55za52	1	1	ok	ok
pdf004_p126_0006	original_export	train	chieu33lau55hu52	tɕʰiə33lɤ55hu52	chieu33lau55hu52	chieu33lau55hu52	1	1	ok	ok
pdf004_p126_0007	original_export	train	kue33huo33tseon33	kuᴇ33huɒ33tsəŋ33	kue33huo33tseon33	kue33huo33tseon33	1	1	ok	ok
pdf004_p126_0008	original_export	train	di11bi11	di11bi11	di11bi11	di11bi11	1	1	ok	ok
pdf004_p126_0009	original_export	train	di11ka11	di11ka11	di11ka11	di11ka11	1	1	ok	ok
pdf004_p126_0010	original_export	train	sy335tsheen55da52	sy335tsʰẽ55da52	sy335tsheen55da52	sy335tsheen55da52	1	1	ok	ok
pdf004_p126_0011	original_export	train	gho11deu55sy55cian52	ɦɒ11də55sy55tɕiaŋ52	gho11deu55sy55cian52	gho11deu55sy55cian52	1	1	ok	ok
pdf004_p126_0012	original_export	train	bin11di55	biŋ11di55	bin11di55	bin11di55	1	1	ok	ok
pdf004_p126_0013	original_export	train	chia33pho33	tɕʰia33pʰɒ33	chia33pho33	chia33pho33	1	1	ok	ok
pdf004_p126_0014	original_export	train	pho33di55	pʰɒ33di55	pho33di55	pho33di55	1	1	ok	ok
pdf004_p126_0015	original_export	train	dien11di55	diẽ11di55	dien11di55	dien11di55	1	1	ok	ok
pdf004_p126_0016	original_export	train	dien231	diẽ231	dien231	dien231	1	1	ok	ok
pdf004_p126_0017	original_export	train	do11dien11	dɒ11diẽ11	do11dien11	do11dien11	1	1	ok	ok
pdf004_p126_0018	original_export	train	dien11ciaq5	diẽ11tɕiaʔ5	dien11ciaq5	dien11ciaq5	1	1	ok	ok
pdf004_p126_0019	original_export	train	dien11paen55	diẽ11pæ̃55	dien11paen55	dien11paen55	1	1	ok	ok
pdf004_p126_0020	original_export	train	dien11baen52	diẽ11bæ̃52	dien11baen52	dien11baen52	1	1	ok	ok
pdf004_p126_0021	original_export	train	dien11da55	diẽ11da55	dien11da55	dien11da55	1	1	ok	ok
pdf004_p126_0022	original_export	train	dien11zeon52	diẽ11zəŋ52	dien11zeon52	dien11zeon52	1	1	ok	ok
pdf004_p126_0023	original_export	train	dien11kan55	diẽ11kaŋ55	dien11kan55	dien11kan55	1	1	ok	ok
pdf005_p127_0000	original_export	train	laen11sy11ti11dien11	læ̃11sy11ti11diẽ11	laen11sy11ti11dien11	laen11sy11ti11dien11	1	1	ok	ok
pdf005_p127_0001	original_export	train	gho11keu11	ɦɒ11kə11	gho11keu11	gho11keu11	1	1	ok	ok
pdf005_p127_0002	original_export	train	di11	di11	di11	di11	1	1	ok	ok
pdf005_p127_0003	original_export	train	yoen11di55	ɦiø̃11di55	yoen11di55	yoen11di55	1	1	ok	ok
pdf005_p127_0004	original_export	train	di11diau11	di11diɤ11	di11diau11	di11diau11	1	1	ok	ok
pdf005_p127_0005	original_export	train	dien11gaon55	diẽ11ɡɒŋ55	dien11gaon55	dien11gaon55	1	1	ok	ok
pdf005_p127_0006	original_export	train	zoq1di55	zoʔ1di55	zoq1di55	zoq1di55	1	1	ok	ok
pdf005_p127_0007	original_export	train	huaon33di55	huɒŋ33di55	huaon33di55	huaon33di55	1	1	ok	ok
pdf005_p127_0008	original_export	train	san33di55	saŋ33di55	san33di55	san33di55	1	1	ok	ok
pdf005_p127_0009	original_export	train	dzaq1di55	dzaʔ1di55	dzaq1di55	dzaq1di55	1	1	ok	ok
pdf005_p127_0010	original_export	train	so33di55	sɒ33di55	so33di55	so33di55	1	1	ok	ok
pdf005_p127_0011	original_export	train	ghaen11so11di11	ɦæ̃11sɒ11di11	ghaen11so11di11	ghaen11so11di11	1	1	ok	ok
pdf005_p127_0012	original_export	train	kaen335tsy55di52	kæ̃335tsy55di52	kaen335tsy55di52	kaen335tsy55di52	1	1	ok	ok
pdf005_p127_0013	original_export	train	tshaeq3deu52	tsʰæʔ3də52	tshaeq3deu52	tshaeq3deu52	1	1	ok	ok
pdf005_p127_0014	original_export	train	lin231	liŋ231	lin231	lin231	1	1	ok	ok
pdf005_p127_0015	original_export	train	zau231	zɤ231	zau231	zau231	1	1	ok	ok
pdf005_p127_0016	original_export	train	daen11dzan52	dæ̃11dzaŋ52	daen11dzan52	daen11dzan52	1	1	ok	ok
pdf005_p127_0017	original_export	train	sa33dzan33	sa33dzaŋ33	sa33dzan33	sa33dzan33	1	1	ok	ok
pdf005_p127_0019	original_export	train	saen33deu55	sæ̃33də55	saen33deu55	saen33deu55	1	1	ok	ok
pdf005_p127_0020	original_export	train	saen33tin33	sæ̃33tiŋ33	saen33tin33	saen33tin33	1	1	ok	ok
pdf005_p127_0021	original_export	train	saen33ciq5	sæ̃33tɕiʔ5	saen33ciq5	saen33ciq5	1	1	ok	ok
pdf005_p127_0022	original_export	train	saen33kaon52	sæ̃33kɒŋ52	saen33kaon52	saen33kaon52	1	1	ok	ok
pdf005_p127_0023	original_export	train	saen33iau55	sæ̃33iɤ55	saen33iau55	saen33iau55	1	1	ok	ok
pdf005_p127_0024	original_export	train	saen33ciaq5	sæ̃33tɕiaʔ5	saen33ciaq5	saen33ciaq5	1	1	ok	ok
pdf005_p127_0025	original_export	train	saen52au55	sæ̃52ɤ55	saen52au55	saen52au55	1	1	ok	ok
pdf005_p127_0026	original_export	train	saen33gau55	sæ̃33ɡɤ55	saen33gau55	saen33gau55	1	1	ok	ok
pdf005_p127_0027	original_export	train	gau11li11	ɡɤ11li11	gau11li11	gau11li11	1	1	ok	ok
pdf005_p127_0028	original_export	train	saen33kho55lo52	sæ̃33kʰɒ55lɒ52	saen33kho55lo52	saen33kho55lo52	1	1	ok	ok
pdf006_p128_0000	original_export	val	saen33u55u52	sæ̃33u55u52	saen33u55u52	saen33u55u52	1	1	ok	ok
pdf006_p128_0001	original_export	train	saen33li55	sæ̃33li55	saen33li55	saen33li55	1	1	ok	ok
pdf006_p128_0002	original_export	train	saen33li55deu52	sæ̃33li55də52	saen33li55deu52	saen33li55deu52	1	1	ok	ok
pdf006_p128_0003	original_export	train	li115saen52	li115sæ̃52	li115saen52	li115saen52	1	1	ok	ok
pdf006_p128_0004	original_export	train	saen33don55	sæ̃33doŋ55	saen33don55	saen33don55	1	1	ok	ok
pdf006_p128_0005	original_export	train	di11don11	di11doŋ11	di11don11	di11don11	1	1	ok	ok
pdf006_p128_0006	original_export	train	zaq1dan55	zaʔ1dɒŋ55	zaq1dan55	zaq1dan55	1	1	ok	ok
pdf006_p128_0007	original_export	val	chi33keu52	tɕʰi33kə52	chi33keu52	chi33keu52	1	1	ok	ok
pdf006_p128_0008	original_export	val	chi33thaen52	tɕʰi33tʰæ̃52	chi33thaen52	chi33thaen52	1	1	ok	ok
pdf006_p128_0009	original_export	val	chi33khan52	tɕʰi33kʰaŋ52	chi33khan52	chi33khan52	1	1	ok	ok
pdf006_p128_0010	original_export	train	zaq1daeq5	zaʔ1dæʔ5	zaq1daeq5	zaq1daeq5	1	1	ok	ok
pdf006_p128_0011	original_export	val	jien11sy55	dʑiẽ11sy55	jien11sy55	jien11sy55	1	1	ok	ok
pdf006_p128_0012	original_export	train	bau11pu11	bɤ11pu11	bau11pu11	bau11pu11	1	1	ok	ok
pdf006_p128_0013	original_export	train	he335	hᴇ335	he335	he335	1	1	ok	ok
pdf006_p128_0014	original_export	train	he335du52	hᴇ335du52	he335du52	he335du52	1	1	ok	ok
pdf006_p128_0015	original_export	val	so33thaen52	sɒ33tʰæ̃52	so33thaen52	so33thaen52	1	1	ok	ok
pdf006_p128_0016	original_export	train	he335baq5di52	hᴇ335baʔ5di52	he335baq5di52	he335baq5di52	1	1	ok	ok
pdf006_p128_0017	original_export	val	dzau11sy55	dzɤ11sy55	dzau11sy55	dzau11sy55	1	1	ok	ok
pdf006_p128_0018	original_export	val	laon11deu11	lɒŋ11də11	laon11deu11	laon11deu11	1	1	ok	ok
pdf006_p128_0019	original_export	train	po33laon55	pɒ33lɒŋ55	po33laon55	po33laon55	1	1	ok	ok
pdf006_p128_0020	original_export	train	gho11kaon55	ɦɒ11kɒŋ55	gho11kaon55	gho11kaon55	1	1	ok	ok
pdf006_p128_0021	original_export	train	wu11kaon55	ɦu11kɒŋ55	wu11kaon55	wu11kaon55	1	1	ok	ok
pdf006_p128_0022	original_export	train	tsho33kaon33	tsʰɒ33kɒŋ33	tsho33kaon33	tsho33kaon33	1	1	ok	ok
pdf006_p128_0023	original_export	train	wan11	ɦuaŋ11	wan11	wan11	1	1	ok	ok
pdf006_p128_0024	original_export	train	phu335	pʰu335	phu335	phu335	1	1	ok	ok
pdf006_p128_0025	original_export	train	doq23	doʔ23	doq23	doq23	1	1	ok	ok
pdf006_p128_0026	original_export	train	leu113	lə113	leu113	leu113	1	1	ok	ok
pdf006_p128_0027	original_export	train	wu231	ɦu231	wu231	wu231	1	1	ok	ok
pdf006_p128_0028	original_export	train	wu11dan55	ɦu11dɒŋ55	wu11dan55	wu11dan55	1	1	ok	ok
pdf007_p129_0000	original_export	train	dan11	dɒŋ11	dan11	dan11	1	1	ok	ok
pdf007_p129_0001	original_export	test	toen33	tø̃33	toen33	toen33	1	1	ok	ok
pdf007_p129_0002	original_export	train	sy335uaon55daon52	sy335uɒŋ55dɒŋ52	sy335uaon55daon52	sy335uaon55daon52	1	1	ok	ok
pdf007_p129_0003	original_export	test	do11sy11	dɒ11sy11	do11sy11	do11sy11	1	1	ok	ok
pdf007_p129_0004	original_export	train	du231	du231	du231	du231	1	1	ok	ok
pdf007_p129_0005	original_export	test	ngeen11teon11deu11	ŋẽ11təŋ11də11	ngeen11teon11deu11	ngeen11teon11deu11	1	1	ok	ok
pdf007_p129_0006	original_export	test	gho11thaen52	ɦɒ11tʰæ̃52	gho11thaen52	gho11thaen52	1	1	ok	ok
pdf007_p129_0007	original_export	train	gho11yen52	ɦɒ11ɦiẽ52	gho11yen52	gho11yen52	1	1	ok	ok
pdf007_p129_0008	original_export	train	gho11kheen52	ɦɒ11kʰẽ52	gho11kheen52	gho11kheen52	1	1	ok	ok
pdf007_p129_0009	original_export	test	gho11bu55deu52	ɦɒ11bu55də52	gho11bu55deu52	gho11bu55deu52	1	1	ok	ok
pdf007_p129_0010	original_export	test	bu11deu11	bu11də11	bu11deu11	bu11deu11	1	1	ok	ok
pdf007_p129_0011	original_export	test	jiau231	dʑiɤ231	jiau231	jiau231	1	1	ok	ok
pdf007_p129_0012	original_export	test	jiau11deu52	dʑiɤ11də52	jiau11deu52	jiau11deu52	1	1	ok	ok
pdf007_p129_0013	original_export	test	jiau11ciaq5	dʑiɤ11tɕiaʔ5	jiau11ciaq5	jiau11ciaq5	1	1	ok	ok
pdf007_p129_0014	original_export	test	thu33deu33	tʰu33də33	thu33deu33	thu33deu33	1	1	ok	ok
pdf007_p129_0015	original_export	test	dzeon11jian52	dzəŋ11dʑiaŋ52	dzeon11jian52	dzeon11jian52	1	1	ok	ok
pdf007_p129_0016	original_export	test	di231	di231	di231	di231	1	1	ok	ok
pdf007_p129_0017	original_export	test	cien33deu33	tɕiẽ33də33	cien33deu33	cien33deu33	1	1	ok	ok
pdf007_p129_0018	original_export	test	po33	pɒ33	po33	po33	1	1	ok	ok
pdf007_p129_0019	original_export	test	ien33	iẽ33	ien33	ien33	1	1	ok	ok
pdf007_p129_0020	original_export	test	kan335dzeon52	kaŋ335dzəŋ52	kan335dzeon52	kan335dzeon52	1	1	ok	ok
pdf007_p129_0021	original_export	train	he335daon52	hᴇ335dɒŋ52	he335daon52	he335daon52	1	1	ok	ok
pdf007_p129_0022	original_export	test	di11daon52	di11dɒŋ52	di11daon52	di11daon52	1	1	ok	ok
pdf007_p129_0023	original_export	test	zaeq23	zæʔ23	zaeq23	zaeq23	1	1	ok	ok
pdf007_p129_0024	original_export	test	zhiu11lin11	ʑy11liŋ11	zhiu11lin11	zhiu11lin11	1	1	ok	ok
pdf007_p129_0025	original_export	train	zhiu11bon11	ʑy11boŋ11	zhiu11bon11	zhiu11bon11	1	1	ok	ok
pdf007_p129_0026	original_export	test	tsoq3lin52	tsoʔ3liŋ52	tsoq3lin52	tsoq3lin52	1	1	ok	ok
pdf008_p130_0000	original_export	train	tsoq3lin55bon52	tsoʔ3liŋ55boŋ52	tsoq3lin55bon52	tsoq3lin55bon52	1	1	ok	ok
pdf008_p130_0001	original_export	train	tshau335di52	tsʰɤ335di52	tshau335di52	tshau335di52	1	1	ok	ok
pdf008_p130_0002	original_export	train	paen55li52	pæ̃55li52	paen55li52	paen55li52	1	1	ok	ok
pdf008_p130_0003	original_export	train	ya115di52	ɦia115di52	ya115di52	ya115di52	1	1	ok	ok
pdf008_p130_0004	original_export	train	cin335tsy52	tɕiŋ335tsy52	cin335tsy52	cin335tsy52	1	1	ok	ok
pdf008_p130_0005	original_export	train	yu115lin52	ɦy115liŋ52	yu115lin52	yu115lin52	1	1	ok	ok
pdf008_p130_0006	original_export	train	laen11din52	læ̃11diŋ52	laen11din52	laen11din52	1	1	ok	ok
pdf008_p130_0007	original_export	train	seen335yoen52	sẽ335ɦiø̃52	seen335yoen52	seen335yoen52	1	1	ok	ok
pdf008_p130_0008	original_export	train	ton33wu52	toŋ33ɦu52	ton33wu52	ton33wu52	1	1	ok	ok
pdf008_p130_0009	original_export	train	cien33wu33	tɕiẽ33ɦu33	cien33wu33	cien33wu33	1	1	ok	ok
pdf008_p130_0010	original_export	train	cin33tsy55	tɕiŋ33tsy55	cin33tsy55	cin33tsy55	1	1	ok	ok
pdf008_p130_0011	original_export	train	baq1cin52	baʔ1tɕiŋ52	baq1cin52	baq1cin52	1	1	ok	ok
pdf008_p130_0012	original_export	train	gnin11tsy55	ȵiŋ11tsy55	gnin11tsy55	gnin11tsy55	1	1	ok	ok
pdf008_p130_0013	original_export	train	don231	doŋ231	don231	don231	1	1	ok	ok
pdf008_p130_0014	original_export	train	tsy335don52	tsy335doŋ52	tsy335don52	tsy335don52	1	1	ok	ok
pdf008_p130_0015	original_export	train	baq1don52	baʔ1doŋ52	baq1don52	baq1don52	1	1	ok	ok
pdf008_p130_0016	original_export	train	huaon33don52	huɒŋ33doŋ52	huaon33don52	huaon33don52	1	1	ok	ok
pdf008_p130_0017	original_export	train	thiq45	tʰiʔ45	thiq45	thiq45	1	1	ok	ok
pdf008_p130_0018	original_export	train	san33thiq5	saŋ33tʰiʔ5	san33thiq5	san33thiq5	1	1	ok	ok
pdf008_p130_0019	original_export	train	zoq1thiq5	zoʔ1tʰiʔ5	zoq1thiq5	zoq1thiq5	1	1	ok	ok
pdf008_p130_0021	original_export	train	khaen52	kʰæ̃52	khaen52	khaen52	1	1	ok	ok
pdf009_p131_0000	original_export	train	laeq23	læʔ23	laeq23	laeq23	1	1	ok	ok
pdf009_p131_0001	original_export	train	kaon33tson52	kɒŋ33tsoŋ52	kaon33tson52	kaon33tson52	1	1	ok	ok
pdf009_p131_0003	original_export	train	gnioq1zaq5	ȵioʔ1zaʔ5	gnioq1zaq5	gnioq1zaq5	1	1	ok	ok
pdf009_p131_0004	original_export	train	sy335cin52	sy335tɕiŋ52	sy335cin52	sy335cin52	1	1	ok	ok
pdf009_p131_0005	original_export	train	fi335tshe52	fi335tsʰᴇ52	fi335tshe52	fi335tshe52	1	1	ok	ok
pdf009_p131_0006	original_export	train	mo115nau52	mɒ115nɤ52	mo115nau52	mo115nau52	1	1	ok	ok
pdf009_p131_0007	original_export	train	saen33wu52	sæ̃33ɦu52	saen33wu52	saen33wu52	1	1	ok	ok
pdf009_p131_0008	original_export	train	tseen33ciu52	tsẽ33tɕy52	tseen33ciu52	tseen33ciu52	1	1	ok	ok
